,Year built,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Lot,Half bathrooms,Type_Condo,Type_Multi Family,Type_Multiple Occupancy,Type_Single Family,Type_Townhouse,Cooling_None,Cooling_Other,Cooling_Refrigeration,"Cooling_Refrigerator, Central",Cooling_Wall,City
399,,894900.0,,894900.0,11.0,4.0,4.0,,0,0,0,1,0,0,1,0,0,0,0,Chicago
400,1913.0,449900.0,,449900.0,9.0,3.0,3.0,,0,0,0,1,0,0,1,0,0,0,0,Chicago
401,1911.0,350000.0,342.0,350000.0,2.0,2.0,1.0,,1,1,0,0,0,0,0,0,0,0,0,Chicago
402,1990.0,469000.0,375.0,469000.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
403,2011.0,439900.0,,439900.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
404,1885.0,2000000.0,500.0,2000000.0,8.0,6.0,6.0,,0,0,0,1,0,0,0,0,0,0,0,Chicago
405,1920.0,315000.0,315.0,315000.0,2.0,1.0,1.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
406,1951.0,299900.0,214.0,299900.0,3.0,3.0,2.0,,1,1,0,0,0,0,0,0,0,0,0,Chicago
407,1900.0,165000.0,126.0,165000.0,3.0,2.0,2.0,4687.0,0,0,0,0,1,0,1,0,0,0,0,Chicago
408,2008.0,695000.0,232.0,695000.0,5.0,4.0,3.0,4029.0,1,0,0,0,1,0,0,0,0,0,0,Chicago
409,2008.0,380000.0,330.0,380000.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
410,1930.0,270000.0,386.0,270000.0,1.0,1.0,1.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
411,1963.0,297500.0,350.0,297500.0,1.0,1.0,1.0,,0,1,0,0,0,0,0,1,0,0,0,Chicago
412,1905.0,599995.0,286.0,599995.0,4.0,2.0,2.0,3123.0,0,0,0,0,1,0,0,0,0,0,0,Chicago
413,2001.0,430000.0,269.0,430000.0,3.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
414,1913.0,275000.0,,275000.0,2.0,1.0,1.0,,0,1,0,0,0,0,1,0,0,0,0,Chicago
415,1939.0,99999.0,116.0,99999.0,1.0,1.0,1.0,,0,1,0,0,0,0,0,1,0,0,0,Chicago
416,1990.0,315000.0,406.0,315000.0,1.0,1.0,1.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
417,1953.0,142500.0,100.0,142500.0,4.0,2.0,1.0,3789.0,1,0,0,0,1,0,0,0,0,0,0,Chicago
418,1905.0,325000.0,,325000.0,4.0,2.0,2.0,,0,0,1,0,0,0,1,0,0,0,0,Chicago
419,1920.0,330000.0,330.0,330000.0,2.0,1.0,1.0,,0,1,0,0,0,0,0,0,0,0,1,Chicago
420,1908.0,475000.0,,475000.0,2.0,3.0,2.0,,1,1,0,0,0,0,0,0,0,0,0,Chicago
421,1962.0,225000.0,450.0,225000.0,0.0,1.0,1.0,,0,1,0,0,0,0,0,1,0,0,0,Chicago
422,1925.0,169999.0,163.0,169999.0,2.0,1.0,1.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
423,1957.0,137500.0,153.0,137500.0,2.0,1.0,1.0,,0,1,0,0,0,0,1,0,0,0,0,Chicago
424,1920.0,299000.0,199.0,299000.0,2.0,1.0,1.0,,0,1,0,0,0,0,1,0,0,0,0,Chicago
425,1910.0,849000.0,849.0,849000.0,7.0,5.0,5.0,,0,0,1,0,0,0,0,0,0,0,0,Chicago
