,Type,Year built,Heating,Cooling,Parking,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,Address,URL,Lot
310,Single Family,No Data,No Data,No Data,3 spaces,,$163,"$517,990", 4, 4, 3, 1,https:,https://www.zillow.com/community/parten-85s/2079456692_zpid/,No Data
311,Single Family,2020,No Data,No Data,3 spaces,,$169,"$609,990", 4, 3, 3,,https:,https://www.zillow.com/community/highpointe-80ft-lots/2082357195_zpid/,No Data
312,Single Family,2020,No Data,No Data,2 spaces,,$150,"$273,990", 4, 2, 2,,https:,https://www.zillow.com/community/tiermo/2078783144_zpid/,No Data
313,Single Family,2020,No Data,No Data,2 spaces,,$252,"$395,990", 3, 3, 2, 1,https:,https://www.zillow.com/community/presidio-station-courtyard-homes/2079474946_zpid/,No Data
314,Single Family,2020,No Data,No Data,2 spaces,,$182,"$337,990", 4, 2, 2,,https:,https://www.zillow.com/community/pioneer-hill/2082857178_zpid/,No Data
315,Townhouse,No Data,No Data,No Data,1 space,,$146,"$228,990", 4, 3, 2, 1,https:,https://www.zillow.com/community/stoney-ridge/2078948268_zpid/,No Data
316,Condo,2020,Electric,Central,2 spaces,$286/mo,$374,"$429,000", 2, 2, 2,,3101-Govalle-Ave-111-Austin-TX-78702,https://www.zillow.com/homedetails/3101-Govalle-Ave-111-Austin-TX-78702/2077709341_zpid/,
317,Single Family,2020,No Data,No Data,2 spaces,,$243,"$429,990", 3, 3, 2, 1,https:,https://www.zillow.com/community/presidio-station-cottages/2079474950_zpid/,No Data
318,Single Family,2020,No Data,No Data,2 spaces,,$141,"$261,990", 4, 2, 2,,https:,https://www.zillow.com/community/austin-s-colony/2082989999_zpid/,No Data
319,Single Family,1965,"Forced air, Electric",Central,8 spaces,,$288,"$795,000", 3, 2, 2,,2507-Mitchell-Ln-Austin-TX-78748,https://www.zillow.com/homedetails/2507-Mitchell-Ln-Austin-TX-78748/83813084_zpid/,1 Acres
320,Single Family,2007,Other,Central,3 spaces,$58/month,$315,"$1,450,000", 5, 5, 4, 1,6731-Cuesta-Trl-Austin-TX-78730,https://www.zillow.com/homedetails/6731-Cuesta-Trl-Austin-TX-78730/70324756_zpid/,1.19 acres
321,Single Family,No Data,No Data,No Data,3 spaces,,$186,"$557,990", 4, 3, 3,,https:,https://www.zillow.com/community/parten/2079036319_zpid/,No Data
322,Single Family,No Data,No Data,No Data,2 spaces,,$217,"$465,990", 4, 3, 2, 1,https:,https://www.zillow.com/community/51-east/2081115925_zpid/,No Data
323,Single Family,1962,Forced air,Central,2 spaces,None,$379,"$499,900", 3, 2, 2,,1307-Webberville-Rd-Austin-TX-78721,https://www.zillow.com/homedetails/1307-Webberville-Rd-Austin-TX-78721/29391394_zpid/,0.27 acres
324,Condo,No Data,"Forced air, Electric",Central,2 spaces,,$355,"$468,800", 2, 2, 2,,https:,https://www.zillow.com/community/little-ford-south-congress/2078398005_zpid/,
325,Single Family,No Data,No Data,No Data,2 spaces,,$180,"$303,990", 4, 3, 2, 1,https:,https://www.zillow.com/community/colorado-crossing-cottage-collection/2083968476_zpid/,No Data
326,Condo,2008,Forced air,Central,2 spaces,$621/month,$590,"$625,000", 2, 2, 2,,360-Nueces-St-APT-2002-Austin-TX-78701,https://www.zillow.com/homedetails/360-Nueces-St-APT-2002-Austin-TX-78701/89547937_zpid/,
327,Condo,No Data,No Data,No Data,No Data,,$429,"$590,000", 2, 2, 2,,https:,https://www.zillow.com/community/grove/2079117330_zpid/,
328,Single Family,1973,"Forced air, Electric",Central,2 spaces,,$208,"$349,000", 3, 2, 2,,10610-Turner-Dr-Austin-TX-78753,https://www.zillow.com/homedetails/10610-Turner-Dr-Austin-TX-78753/29430155_zpid/,0.33 Acres
329,Single Family,2020,No Data,No Data,2 spaces,,$127,"$290,990", 4, 3, 3,,https:,https://www.zillow.com/community/forest-bluff/2077808914_zpid/,No Data
330,Condo,1983,Forced air,Central,2 spaces,$222/month,$367,"$299,500", 2, 2, 2,,3115-Helms-St-APT-117-Austin-TX-78705,https://www.zillow.com/homedetails/3115-Helms-St-APT-117-Austin-TX-78705/29397356_zpid/,
331,Condo,2016,"Forced air, Electric, Gas",Central,2 spaces,$230/mo,$480,"$480,000", 1, 1, 1,,207-W-Johanna-St-102-Austin-TX-78704,https://www.zillow.com/homedetails/207-W-Johanna-St-102-Austin-TX-78704/241938424_zpid/,
332,Single Family,2014,"Forced air, Electric, Gas",Central,2 spaces,,$241,"$599,900", 4, 3, 2, 1,11000-Steelton-Cv-Austin-TX-78717,https://www.zillow.com/homedetails/11000-Steelton-Cv-Austin-TX-78717/121723404_zpid/,0.32 Acres
333,Single Family,2020,Forced air,Central,1 space,$330/month,$376,"$648,000", 3, 3, 2, 1,5107-Manchaca-Rd-4-Austin-TX-78745,https://www.zillow.com/homedetails/5107-Manchaca-Rd-4-Austin-TX-78745/2077740009_zpid/,"3,049 sqft"
334,Single Family,2020,No Data,No Data,2 spaces,,$182,"$338,990", 4, 2, 2,,https:,https://www.zillow.com/community/parker-station/2084660162_zpid/,No Data
335,Condo,2002,Electric,No Data,1 space,None,$228,"$180,000", 1, 1, 1,,2320-Gracy-Farms-Ln-APT-514-Austin-TX-78758,https://www.zillow.com/homedetails/2320-Gracy-Farms-Ln-APT-514-Austin-TX-78758/80092905_zpid/,
336,Condo,1985,No Data,No Data,No Data,$300/mo,$309,"$235,000", 1, 1, 1,,5602-Woodrow-Ave-APT-202-Austin-TX-78756,https://www.zillow.com/homedetails/5602-Woodrow-Ave-APT-202-Austin-TX-78756/29412423_zpid/,
337,Condo,2008,"Forced air, Electric",Central,1 space,$434/mo,$583,"$439,000", 1, 1, 1,,360-Nueces-St-APT-1506-Austin-TX-78701,https://www.zillow.com/homedetails/360-Nueces-St-APT-1506-Austin-TX-78701/89552730_zpid/,
