,Type,Year built,Heating,Cooling,Parking,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,Address,URL,Lot
519,Single Family,2020,No Data,No Data,2 spaces,,$190,"$316,990", 3, 2, 2,,https:,https://www.zillow.com/community/parker-station/2084660156_zpid/,No Data
520,Single Family,2020,No Data,No Data,2 spaces,,$146,"$259,990", 3, 3, 2, 1,https:,https://www.zillow.com/community/austin-s-colony/2080430652_zpid/,No Data
521,Single Family,2020,No Data,No Data,2 spaces,,$211,"$370,990", 3, 3, 2, 1,https:,https://www.zillow.com/community/malone/2084958892_zpid/,No Data
522,Single Family,2020,No Data,No Data,2 spaces,,$205,"$386,995", 4, 2, 2,,https:,https://www.zillow.com/community/willow-trace/2079835975_zpid/,No Data
523,Single Family,No Data,"Forced air, Electric",Central,2 spaces,,$443,"$299,000", 1, 1, 1,,https:,https://www.zillow.com/community/bend-south-congress/2077862487_zpid/,No Data
524,Single Family,1972,Forced air,Central,2 spaces,None,$258,"$325,000", 3, 2, 2,,9800-Cottle-Dr-Austin-TX-78753,https://www.zillow.com/homedetails/9800-Cottle-Dr-Austin-TX-78753/29425624_zpid/,"8,363 sqft"
525,Townhouse,1982,"Forced air, Electric",Central,2 spaces,,$187,"$269,900", 2, 3, 2, 1,1710-Timber-Brush-Trl-Austin-TX-78741,https://www.zillow.com/homedetails/1710-Timber-Brush-Trl-Austin-TX-78741/29464355_zpid/,"1,655 sqft"
526,Single Family,No Data,No Data,No Data,2 spaces,,$138,"$280,995", 3, 3, 2, 1,https:,https://www.zillow.com/community/sundance-crossing/2079836001_zpid/,No Data
527,Single Family,No Data,No Data,No Data,3 spaces,,$212,"$551,990", 4, 3, 3,,https:,https://www.zillow.com/community/highpointe-80ft-lots/2082357187_zpid/,No Data
528,Condo,2013,Forced air,Central,1 space,$250/month,$582,"$439,000", 1, 1, 1,,1900-Barton-Springs-Rd-UNIT-4041-Austin-TX-78704,https://www.zillow.com/homedetails/1900-Barton-Springs-Rd-UNIT-4041-Austin-TX-78704/251033987_zpid/,
529,Multiple Occupancy,1970,"Forced air, Electric, Gas",Central,No Data,,$368,"$699,900", 0, 0,,,2212-Trailside-Dr-Austin-TX-78704,https://www.zillow.com/homedetails/2212-Trailside-Dr-Austin-TX-78704/29325133_zpid/,
530,Single Family,2020,No Data,No Data,2 spaces,,$170,"$236,990", 3, 2, 2,,https:,https://www.zillow.com/community/austin-s-colony/2082989998_zpid/,No Data
531,Single Family,2020,No Data,No Data,2 spaces,,$189,"$418,400", 3, 3, 2, 1,https:,https://www.zillow.com/community/easton-park/2081906062_zpid/,No Data
532,Condo,1981,Forced air,Central,2 spaces,None,$248,"$382,000", 4, 2, 2,,2401-Leon-St-APT-307-Austin-TX-78705,https://www.zillow.com/homedetails/2401-Leon-St-APT-307-Austin-TX-78705/29393783_zpid/,
533,Single Family,2020,No Data,No Data,2 spaces,,$148,"$265,990", 4, 2, 2,,https:,https://www.zillow.com/community/forest-bluff/2077808911_zpid/,No Data
534,Condo,No Data,No Data,No Data,3 spaces,,"$1,400","$5,266,800", 4, 3, 3,,https:,https://www.zillow.com/community/austonian/2082131997_zpid/,
535,Condo,1986,"Forced air, Electric",Central,2 spaces,$268/mo,$312,"$179,500", 1, 1, 1,,7685-Northcross-Dr-UNIT-1020-Austin-TX-78757,https://www.zillow.com/homedetails/7685-Northcross-Dr-UNIT-1020-Austin-TX-78757/124839439_zpid/,
536,Single Family,1970,Forced air,Central,4 spaces,None,$250,"$559,000", 5, 3, 2, 1,6206-Hyside-Dr-Austin-TX-78723,https://www.zillow.com/homedetails/6206-Hyside-Dr-Austin-TX-78723/29404393_zpid/,"8,102 sqft"
537,Single Family,1979,"Forced air, Electric, Gas",Central,2 spaces,,$292,"$635,000", 4, 3, 2, 1,9701-Morning-Ct-Austin-TX-78759,https://www.zillow.com/homedetails/9701-Morning-Ct-Austin-TX-78759/29363746_zpid/,0.51 Acres
538,Single Family,2020,No Data,No Data,2 spaces,,$158,"$394,990", 4, 3, 3,,https:,https://www.zillow.com/community/malone/2084958888_zpid/,No Data
539,Single Family,2020,No Data,No Data,2 spaces,,$114,"$310,990", 5, 3, 3,,https:,https://www.zillow.com/community/tiermo/2078783145_zpid/,No Data
540,Single Family,2018,"Forced air, Electric, Gas",Central,2 spaces,,$640,"$1,345,000", 3, 3, 2, 1,906-Juanita-St-Austin-TX-78704,https://www.zillow.com/homedetails/906-Juanita-St-Austin-TX-78704/29474988_zpid/,"6,272 sqft"
541,Condo,2014,Forced air,Central,2 spaces,$415/month,$326,"$695,000", 3, 3, 2, 1,8110-Ranch-Road-2222-APT-96-Austin-TX-78730,https://www.zillow.com/homedetails/8110-Ranch-Road-2222-APT-96-Austin-TX-78730/80090468_zpid/,
542,Condo,2002,Forced air,Central,2 spaces,$290/month,$218,"$205,000", 2, 1, 1,,2320-Gracy-Farms-Ln-APT-1231-Austin-TX-78758,https://www.zillow.com/homedetails/2320-Gracy-Farms-Ln-APT-1231-Austin-TX-78758/80099677_zpid/,
543,Condo,2017,Forced air,Central,2 spaces,$209/month,$408,"$474,598", 2, 2, 1, 1,2002-E-7th-St-227-Austin-TX-78702,https://www.zillow.com/homedetails/2002-E-7th-St-227-Austin-TX-78702/251032186_zpid/,
544,Single Family,No Data,"Electric, Gas",Central,No Data,$175/month,$387,"$532,000", 2, 3, 2, 1,1206-Sarabeth-Way-Austin-TX-78721,https://www.zillow.com/homedetails/1206-Sarabeth-Way-Austin-TX-78721/2079552815_zpid/,"3,837 sqft"
545,Single Family,2014,"Forced air, Electric, Gas",Central,3 spaces,,$237,"$999,444", 4, 3, 3,,7613-Bettis-Trophy-Dr-Austin-TX-78739,https://www.zillow.com/homedetails/7613-Bettis-Trophy-Dr-Austin-TX-78739/83825776_zpid/,0.42 Acres
546,Single Family,2020,No Data,No Data,2 spaces,,$154,"$356,990", 4, 3, 3,,https:,https://www.zillow.com/community/pioneer-hill/2085272572_zpid/,No Data
547,Single Family,2008,Forced air,Central,6 spaces,$116/month,$434,"$3,495,000", 7, 7,,,13117-Zen-Gardens-Way-Austin-TX-78732,https://www.zillow.com/homedetails/13117-Zen-Gardens-Way-Austin-TX-78732/70352301_zpid/,2.5 acres
548,Condo,1985,"Forced air, Electric",Central,1 space,$269/mo,$275,"$222,500", 2, 2, 2,,1730-Timber-Ridge-Rd-APT-150-Austin-TX-78741,https://www.zillow.com/homedetails/1730-Timber-Ridge-Rd-APT-150-Austin-TX-78741/29464409_zpid/,
549,Single Family,2020,"Forced air, Electric, Gas",Central,2 spaces,,$388,"$755,000", 3, 3, 3,,3011-E-14th-1-2-St-Austin-TX-78702,https://www.zillow.com/homedetails/3011-E-14th-1-2-St-Austin-TX-78702/29390007_zpid/,"4,791 sqft"
550,Single Family,2020,"Forced air, Gas",Central,2 spaces,,$313,"$799,000", 3, 3, 2, 1,1164-Lott-Ave-Austin-TX-78721,https://www.zillow.com/homedetails/1164-Lott-Ave-Austin-TX-78721/29388164_zpid/,"8,494 sqft"
551,Condo,2014,Forced air,Central,1 space,$230/month,$260,"$245,000", 1, 2, 1, 1,604-N-Bluff-Dr-UNIT-115-Austin-TX-78745,https://www.zillow.com/homedetails/604-N-Bluff-Dr-UNIT-115-Austin-TX-78745/124727632_zpid/,
552,Condo,1973,Forced air,Central,1 space,$290/month,$532,"$258,000", 1, 1, 1,,1212-Guadalupe-St-APT-308-Austin-TX-78701,https://www.zillow.com/homedetails/1212-Guadalupe-St-APT-308-Austin-TX-78701/29387316_zpid/,
553,Single Family,1985,"Forced air, Electric, Gas",Central,4 spaces,,$251,"$575,000", 3, 4, 3, 1,4205-Canyonside-Trl-Austin-TX-78731,https://www.zillow.com/homedetails/4205-Canyonside-Trl-Austin-TX-78731/29353202_zpid/,"5,314 sqft"
554,Single Family,1966,Forced air,Central,2 spaces,None,$317,"$450,000", 3, 2, 2,,1710-Loreto-Dr-Austin-TX-78721,https://www.zillow.com/homedetails/1710-Loreto-Dr-Austin-TX-78721/29390181_zpid/,"8,450 sqft"
555,Single Family,1960,"Forced air, Electric, Gas",Central,2 spaces,,$415,"$349,000", 3, 1, 1,,1140-Richardine-Ave-Austin-TX-78721,https://www.zillow.com/homedetails/1140-Richardine-Ave-Austin-TX-78721/29387983_zpid/,"6,098 sqft"
556,Single Family,2020,No Data,No Data,2 spaces,,$182,"$300,434", 3, 2, 2,,6401-Conestoga-Wagon-Way-Del-Valle-TX-78617,https://www.zillow.com/homedetails/6401-Conestoga-Wagon-Way-Del-Valle-TX-78617/2077791535_zpid/,No Data
557,Single Family,2020,No Data,No Data,2 spaces,,$143,"$321,241", 3, 3, 2, 1,6213-Albany-Sleigh-Dr-Del-Valle-TX-78617,https://www.zillow.com/homedetails/6213-Albany-Sleigh-Dr-Del-Valle-TX-78617/2077791534_zpid/,No Data
558,Townhouse,No Data,No Data,No Data,2 spaces,,$127,"$270,990", 4, 2, 2,,https:,https://www.zillow.com/community/stoney-ridge/2078948263_zpid/,No Data
559,Single Family,1955,"Forced air, Electric, Gas",Central,2 spaces,,$395,"$465,000", 3, 1, 1,,4910-Caswell-Ave-Austin-TX-78751,https://www.zillow.com/homedetails/4910-Caswell-Ave-Austin-TX-78751/29405226_zpid/,"4,560 sqft"
560,Single Family,No Data,No Data,No Data,2 spaces,,$233,"$469,990", 3, 3, 2, 1,https:,https://www.zillow.com/community/51-east/2081115923_zpid/,No Data
561,Townhouse,No Data,No Data,No Data,2 spaces,,$323,"$625,000", 2, 4, 3, 1,https:,https://www.zillow.com/community/grove/2079117333_zpid/,No Data
562,Single Family,1994,Forced air,Central,5 spaces,$150/month,$476,"$2,400,000", 3, 5, 4, 1,3111-Above-Stratford-Pl-Austin-TX-78746,https://www.zillow.com/homedetails/3111-Above-Stratford-Pl-Austin-TX-78746/29332372_zpid/,1.17 acres
563,Single Family,1953,"Forced air, Electric, Gas",Central,2 spaces,,$333,"$499,999", 3, 2, 2,,415-Normandy-St-Austin-TX-78745,https://www.zillow.com/homedetails/415-Normandy-St-Austin-TX-78745/29479778_zpid/,"9,016 sqft"
564,Condo,2006,Forced air,Central,1 space,$227/month,$369,"$265,000", 2, 1, 1,,907-Duncan-Ln-APT-203-Austin-TX-78705,https://www.zillow.com/homedetails/907-Duncan-Ln-APT-203-Austin-TX-78705/80107262_zpid/,
565,Single Family,2020,"Forced air, Electric, Gas",Central,2 spaces,,$776,"$2,500,000", 4, 4, 4,,1005-S-3rd-St-Austin-TX-78704,https://www.zillow.com/homedetails/1005-S-3rd-St-Austin-TX-78704/29322703_zpid/,"8,241 sqft"
566,Condo,2000,"Forced air, Electric",Central,1 space,$221/mo,$171,"$225,000", 2, 3, 2, 1,12401-Los-Indios-Trl-UNIT-54-Austin-TX-78729,https://www.zillow.com/homedetails/12401-Los-Indios-Trl-UNIT-54-Austin-TX-78729/2077889874_zpid/,
567,Single Family,2020,Forced air,Central,2 spaces,,$241,"$499,000", 3, 2, 2,,7001-Zachary-Dr-Austin-TX-78724,https://www.zillow.com/homedetails/7001-Zachary-Dr-Austin-TX-78724/70334231_zpid/,"7,666 sqft"
568,Single Family,1981,Forced air,Central,2 spaces,None,$239,"$417,750", 3, 3, 2, 1,4101-Kilgore-Ln-Austin-TX-78727,https://www.zillow.com/homedetails/4101-Kilgore-Ln-Austin-TX-78727/58306104_zpid/,"8,402 sqft"
569,Condo,1985,"Other, Electric",Central,2 spaces,$600/mo,$293,"$689,000", 2, 3, 2, 1,4231-Westlake-Dr-APT-I2-Austin-TX-78746,https://www.zillow.com/homedetails/4231-Westlake-Dr-APT-I2-Austin-TX-78746/29344724_zpid/,
570,Single Family,No Data,No Data,No Data,2 spaces,,$115,"$305,990", 4, 3, 3,,https:,https://www.zillow.com/community/tiermo/2078783149_zpid/,No Data
571,Single Family,2020,No Data,No Data,2 spaces,,$176,"$456,900", 3, 3, 2, 1,https:,https://www.zillow.com/community/easton-park/2081906061_zpid/,No Data
572,Condo,1979,Forced air,Central,3 spaces,$100/month,$253,"$280,000", 3, 2, 2,,6715-W-Gate-Blvd-B-Austin-TX-78745,https://www.zillow.com/homedetails/6715-W-Gate-Blvd-B-Austin-TX-78745/305429338_zpid/,
573,Condo,1969,"Forced air, Electric",Central,45 spaces,$192/mo,$344,"$299,000", 2, 1, 1,,3815-Guadalupe-St-APT-206-Austin-TX-78751,https://www.zillow.com/homedetails/3815-Guadalupe-St-APT-206-Austin-TX-78751/83827896_zpid/,
574,Condo,2016,"Forced air, Electric, Gas",Central,2 spaces,$25/mo,$370,"$689,000", 3, 3, 3,,1708-E-M-Franklin-Ave-UNIT-A-Austin-TX-78721,https://www.zillow.com/homedetails/1708-E-M-Franklin-Ave-UNIT-A-Austin-TX-78721/241931850_zpid/,
575,Single Family,2012,Other,Central,1 space,None,$599,"$1,495,000", 3, 3, 3,,1208-Hillside-Ave-Austin-TX-78704,https://www.zillow.com/homedetails/1208-Hillside-Ave-Austin-TX-78704/29458783_zpid/,"4,573 sqft"
576,Single Family,2018,"Forced air, Electric, Gas",Central,2 spaces,,$185,"$349,900", 3, 3, 2, 1,915-Boatswain-Way-Austin-TX-78748,https://www.zillow.com/homedetails/915-Boatswain-Way-Austin-TX-78748/305426874_zpid/,"5,972 sqft"
577,Single Family,2020,Forced air,Central,5 spaces,$308/month,$675,"$3,350,000", 4, 5, 4, 1,8417-Valerio-Ln-Austin-TX-78735,https://www.zillow.com/homedetails/8417-Valerio-Ln-Austin-TX-78735/306645920_zpid/,3.67 acres
578,Single Family,1968,"Forced air, Electric",Central,3 spaces,,$190,"$399,900", 4, 3, 2, 1,11908-Hornsby-St-Austin-TX-78753,https://www.zillow.com/homedetails/11908-Hornsby-St-Austin-TX-78753/58304589_zpid/,"10,018 sqft"
579,Single Family,1990,"Forced air, Electric",Central,5 spaces,,$348,"$1,750,000", 4, 5, 4, 1,4302-Wild-Plum-Ct-Austin-TX-78731,https://www.zillow.com/homedetails/4302-Wild-Plum-Ct-Austin-TX-78731/29348226_zpid/,3.11 Acres
580,Townhouse,2014,Forced air,Central,2 spaces,$198/month,$307,"$679,000", 3, 4, 3, 1,4612-Berkman-Dr-Austin-TX-78723,https://www.zillow.com/homedetails/4612-Berkman-Dr-Austin-TX-78723/120575878_zpid/,"2,613 sqft"
581,Single Family,1941,"Forced air, Electric, Gas",Central,No Data,,$378,"$965,000", 4, 3, 3,,1804-W-37th-St-Austin-TX-78731,https://www.zillow.com/homedetails/1804-W-37th-St-Austin-TX-78731/29340201_zpid/,"7,013 sqft"
582,Single Family,2020,Forced air,Central,2 spaces,None,$601,"$1,795,000", 3, 4, 3, 1,2306-S-3rd-St-Austin-TX-78704,https://www.zillow.com/homedetails/2306-S-3rd-St-Austin-TX-78704/29473290_zpid/,"8,015 sqft"
583,Condo,2015,Electric,Central,2 spaces,$469/month,$420,"$675,000", 3, 2, 2,,3600-S-Lamar-Blvd-409-Austin-TX-78704,https://www.zillow.com/homedetails/3600-S-Lamar-Blvd-409-Austin-TX-78704/145659103_zpid/,
584,Condo,2015,Electric,Central,1 space,$268/mo,$577,"$465,000", 1, 1, 1,,1900-Barton-Springs-Rd-UNIT-5012-Austin-TX-78704,https://www.zillow.com/homedetails/1900-Barton-Springs-Rd-UNIT-5012-Austin-TX-78704/251035473_zpid/,
585,Single Family,1996,"Forced air, Electric",Central,2 spaces,,$248,"$510,000", 4, 2, 2,,4901-Flaming-Oak-Cv-Austin-TX-78749,https://www.zillow.com/homedetails/4901-Flaming-Oak-Cv-Austin-TX-78749/29486491_zpid/,0.29 Acres
586,Single Family,1973,Other,Central,2 spaces,,$524,"$1,550,000", 4, 2, 2,,1806-Glencliff-Dr-Austin-TX-78704,https://www.zillow.com/homedetails/1806-Glencliff-Dr-Austin-TX-78704/29325259_zpid/,0.49 Acres
587,Single Family,1957,Forced air,Central,2 spaces,None,$551,"$1,475,000", 4, 2, 2,,3421-Mount-Barker-Dr-Austin-TX-78731,https://www.zillow.com/homedetails/3421-Mount-Barker-Dr-Austin-TX-78731/29341956_zpid/,0.33 acres
588,Condo,1980,Forced air,Central,1 space,$245/month,$318,"$220,000", 1, 1, 1,,300-Crockett-St-APT-314-Austin-TX-78704,https://www.zillow.com/homedetails/300-Crockett-St-APT-314-Austin-TX-78704/79981952_zpid/,
589,Single Family,1985,Forced air,Central,4 spaces,$47/month,$309,"$725,000", 3, 3, 2, 1,6007-Twin-Valley-Cv-Austin-TX-78731,https://www.zillow.com/homedetails/6007-Twin-Valley-Cv-Austin-TX-78731/29349634_zpid/,"8,886 sqft"
590,Single Family,1954,Forced air,Central,4 spaces,None,$238,"$450,000", 3, 3, 2, 1,1302-Corona-Dr-Austin-TX-78723,https://www.zillow.com/homedetails/1302-Corona-Dr-Austin-TX-78723/29405518_zpid/,"8,450 sqft"
591,Condo,2004,"Forced air, Electric, Gas",Central,2 spaces,$300/mo,$161,"$429,500", 3, 3, 3,,4229-Johns-Light-Dr-Austin-TX-78727,https://www.zillow.com/homedetails/4229-Johns-Light-Dr-Austin-TX-78727/63837318_zpid/,
592,Condo,2018,"Forced air, Electric",Central,2 spaces,$293/mo,$318,"$435,000", 2, 2, 2,,4361-S-Congress-Ave-UNIT-501-Austin-TX-78745,https://www.zillow.com/homedetails/4361-S-Congress-Ave-UNIT-501-Austin-TX-78745/241938685_zpid/,
593,Single Family,No Data,No Data,No Data,3 spaces,,$152,"$537,990", 5, 5, 4, 1,https:,https://www.zillow.com/community/parten-75s/2079456687_zpid/,No Data
594,Townhouse,2018,"Forced air, Electric, Gas",Central,4 spaces,,$315,"$610,000", 4, 3, 3,,4622-Vaughan-St-Austin-TX-78723,https://www.zillow.com/homedetails/4622-Vaughan-St-Austin-TX-78723/145654744_zpid/,"1,219 sqft"
595,Condo,2008,"Forced air, Electric, Gas",Central,1 space,$255/mo,$222,"$349,900", 2, 3, 2, 1,6708-Manchaca-Rd-UNIT-2-Austin-TX-78745,https://www.zillow.com/homedetails/6708-Manchaca-Rd-UNIT-2-Austin-TX-78745/89545610_zpid/,
596,Condo,2019,Forced air,Central,1 space,$150/month,$390,"$290,999", 1, 1, 1,,2213-Poquito-St-UNIT-122-Austin-TX-78722,https://www.zillow.com/homedetails/2213-Poquito-St-UNIT-122-Austin-TX-78722/305428333_zpid/,
597,Single Family,2020,No Data,No Data,2 spaces,,$136,"$275,990", 4, 2, 2,,https:,https://www.zillow.com/community/forest-bluff/2077808907_zpid/,No Data
598,Single Family,2020,No Data,No Data,2 spaces,,$113,"$300,990", 4, 3, 3,,https:,https://www.zillow.com/community/forest-bluff/2077808910_zpid/,No Data
599,Single Family,2020,Forced air,Central,2 spaces,None,$410,"$439,000", 2, 2, 2,,5201-Star-Light-Ter-2-Austin-TX-78721,https://www.zillow.com/homedetails/5201-Star-Light-Ter-2-Austin-TX-78721/2077809063_zpid/,"7,535 sqft"
600,Single Family,2020,"Forced air, Electric, Gas",Central,2 spaces,,$337,"$549,000", 3, 3, 2, 1,5201-Star-Light-Ter-1-Austin-TX-78721,https://www.zillow.com/homedetails/5201-Star-Light-Ter-1-Austin-TX-78721/2077809062_zpid/,"7,535 sqft"
601,Single Family,No Data,No Data,No Data,3 spaces,,$200,"$557,990", 4, 3, 3,,https:,https://www.zillow.com/community/highpointe-80ft-lots/2082357186_zpid/,No Data
602,Single Family,2020,No Data,No Data,2 spaces,,$214,"$479,990", 3, 3, 2, 1,https:,https://www.zillow.com/community/presidio-station-courtyard-homes/2079474947_zpid/,No Data
603,Single Family,No Data,No Data,No Data,2 spaces,,$144,"$323,990", 4, 3, 2, 1,https:,https://www.zillow.com/community/vistas-of-austin/2079142264_zpid/,No Data
604,Townhouse,2020,"Forced air, Electric, Gas",Central,2 spaces,,$225,"$389,567", 3, 3, 2, 1,12105-Dunure-Trl-Austin-TX-78717,https://www.zillow.com/homedetails/12105-Dunure-Trl-Austin-TX-78717/2081272091_zpid/,No Data
605,Single Family,1979,Forced air,Central,2 spaces,None,$292,"$350,000", 2, 2, 2,,Austin-TX-78745,https://www.zillow.com/homedetails/Austin-TX-78745/2077810016_zpid/,"7,021 sqft"
606,Condo,2013,Forced air,Central,2 spaces,$138/month,$377,"$600,000", 3, 3, 2, 1,1200-Arcadia-Ave-APT-B-Austin-TX-78757,https://www.zillow.com/homedetails/1200-Arcadia-Ave-APT-B-Austin-TX-78757/124840289_zpid/,
607,Single Family,1970,"Forced air, Electric",Central,4 spaces,,$458,"$560,000", 3, 2, 2,,9405-Cliffbrook-Dr-Austin-TX-78747,https://www.zillow.com/homedetails/9405-Cliffbrook-Dr-Austin-TX-78747/29471290_zpid/,2.34 Acres
608,Condo,2008,Forced air,Central,1 space,$202/month,$429,"$370,000", 1, 1, 1,,1807-Poquito-St-APT-45-Austin-TX-78702,https://www.zillow.com/homedetails/1807-Poquito-St-APT-45-Austin-TX-78702/89548814_zpid/,
609,Townhouse,2015,Electric,Central,2 spaces,$198/month,$343,"$495,000", 3, 3, 2, 1,2911-Zach-Scott-St-Austin-TX-78723,https://www.zillow.com/homedetails/2911-Zach-Scott-St-Austin-TX-78723/144970717_zpid/,"1,219 sqft"
610,Condo,2016,"Forced air, Electric",Central,1 space,$268/mo,$419,"$385,000", 1, 2, 1, 1,3600-S-Lamar-Blvd-203-Austin-TX-78704,https://www.zillow.com/homedetails/3600-S-Lamar-Blvd-203-Austin-TX-78704/145655676_zpid/,
611,Condo,1985,Forced air,Central,1 space,$298/month,$249,"$339,000", 2, 2, 2,,4711-Spicewood-Springs-Rd-UNIT-256-Austin-TX-78759,https://www.zillow.com/homedetails/4711-Spicewood-Springs-Rd-UNIT-256-Austin-TX-78759/29358634_zpid/,
612,Single Family,2003,Forced air,Central,4 spaces,None,$325,"$1,399,900", 3, 3, 3,,3814-Wadford-St-Austin-TX-78704,https://www.zillow.com/homedetails/3814-Wadford-St-Austin-TX-78704/64689566_zpid/,"9,626 sqft"
613,Single Family,1999,Forced air,Central,3 spaces,$50/month,$366,"$1,720,000", 4, 4, 3, 1,2413-Never-Bend-Cv-Austin-TX-78746,https://www.zillow.com/homedetails/2413-Never-Bend-Cv-Austin-TX-78746/29341368_zpid/,0.71 acres
614,Single Family,2000,Forced air,Central,4 spaces,$27/month,$144,"$420,000", 5, 3, 3,,11005-Mint-Julep-Dr-Austin-TX-78748,https://www.zillow.com/homedetails/11005-Mint-Julep-Dr-Austin-TX-78748/58317602_zpid/,"6,664 sqft"
615,Single Family,2020,Forced air,Central,2 spaces,None,$408,"$929,900", 4, 3, 2, 1,4522-Highland-Ter-Austin-TX-78731,https://www.zillow.com/homedetails/4522-Highland-Ter-Austin-TX-78731/29341708_zpid/,"5,357 sqft"
616,Single Family,2002,Forced air,Central,2 spaces,$51/month,$196,"$360,000", 3, 2, 2,,10913-Quarry-Oaks-Trl-Austin-TX-78717,https://www.zillow.com/homedetails/10913-Quarry-Oaks-Trl-Austin-TX-78717/60335775_zpid/,"8,276 sqft"
617,Single Family,1979,"Forced air, Electric, Gas",Central,4 spaces,,$204,"$417,950", 3, 3, 2, 1,8206-Furness-Cv-Austin-TX-78753,https://www.zillow.com/homedetails/8206-Furness-Cv-Austin-TX-78753/29419681_zpid/,"7,230 sqft"
618,Single Family,1974,Forced air,Central,2 spaces,None,$227,"$425,000", 3, 2, 2,,11511-Pyreneese-Dr-Austin-TX-78759,https://www.zillow.com/homedetails/11511-Pyreneese-Dr-Austin-TX-78759/29439288_zpid/,"8,973 sqft"
619,Single Family,2020,Forced air,Central,2 spaces,None,$463,"$700,000", 3, 4, 2, 2,1132-Denfield-St-A-Austin-TX-78721,https://www.zillow.com/homedetails/1132-Denfield-St-A-Austin-TX-78721/2077815323_zpid/,"7,492 sqft"
620,Single Family,2020,"Forced air, Electric, Gas",Central,2 spaces,,$463,"$700,000", 3, 4, 2, 2,1132-Denfield-St-B-Austin-TX-78721,https://www.zillow.com/homedetails/1132-Denfield-St-B-Austin-TX-78721/2077815322_zpid/,"7,492 sqft"
621,Condo,2018,"Electric, Gas",Central,2 spaces,$843/mo,$757,"$1,995,000", 3, 3, 2, 1,1010-W-10th-St-305-Austin-TX-78703,https://www.zillow.com/homedetails/1010-W-10th-St-305-Austin-TX-78703/241933767_zpid/,
622,Condo,1976,Forced air,Central,2 spaces,$255/month,$264,"$349,900", 3, 2, 2,,5508-Buffalo-Pass-B-Austin-TX-78745,https://www.zillow.com/homedetails/5508-Buffalo-Pass-B-Austin-TX-78745/58313699_zpid/,
623,Single Family,No Data,No Data,No Data,2 spaces,,$196,"$296,990", 3, 2, 2,,https:,https://www.zillow.com/community/parker-station/2084660168_zpid/,No Data
624,Single Family,No Data,No Data,No Data,3 spaces,,$165,"$522,990", 4, 4, 3, 1,https:,https://www.zillow.com/community/parten-75s/2079456689_zpid/,No Data
625,Single Family,1968,"Forced air, Electric, Gas",Central,2 spaces,,$520,"$374,500", 2, 1, 1,,5017-Heflin-Ln-Austin-TX-78721,https://www.zillow.com/homedetails/5017-Heflin-Ln-Austin-TX-78721/29391428_zpid/,"6,272 sqft"
626,Condo,1968,Forced air,Central,1 space,$200/month,$271,"$220,000", 1, 2, 1, 1,4800-W-Gate-Blvd-APT-101-Austin-TX-78745,https://www.zillow.com/homedetails/4800-W-Gate-Blvd-APT-101-Austin-TX-78745/2077817310_zpid/,
627,Single Family,2020,No Data,No Data,2 spaces,,$236,"$374,995", 3, 2, 2,,https:,https://www.zillow.com/community/willow-trace/2079835974_zpid/,No Data
628,Condo,2020,Forced air,Central,2 spaces,$221/month,$389,"$389,000", 2, 2, 2,,4802-S-Congress-Ave-319-Austin-TX-78745,https://www.zillow.com/homedetails/4802-S-Congress-Ave-319-Austin-TX-78745/2077818349_zpid/,
629,Single Family,1986,"Other, Gas",Central,4 spaces,,$300,"$780,000", 4, 3, 3,,6300-Mountain-Park-Cv-Austin-TX-78731,https://www.zillow.com/homedetails/6300-Mountain-Park-Cv-Austin-TX-78731/29353309_zpid/,0.69 Acres
630,Single Family,1960,"Forced air, Electric, Gas",Central,1 space,,$377,"$475,000", 3, 2, 2,,5205-Downs-Dr-Austin-TX-78721,https://www.zillow.com/homedetails/5205-Downs-Dr-Austin-TX-78721/29391511_zpid/,"8,537 sqft"
631,Single Family,1928,"Wall, Electric",Wall,2 spaces,,$379,"$850,000", 3, 2, 2,,3204-Hemphill-Park-Austin-TX-78705,https://www.zillow.com/homedetails/3204-Hemphill-Park-Austin-TX-78705/29399259_zpid/,"6,577 sqft"
632,Single Family,1973,Forced air,Central,2 spaces,None,$331,"$470,000", 3, 2, 2,,11709-Shoshone-Dr-Austin-TX-78759,https://www.zillow.com/homedetails/11709-Shoshone-Dr-Austin-TX-78759/29439384_zpid/,"6,751 sqft"
633,Condo,1985,Forced air,Central,1 space,$277/month,$356,"$249,000", 1, 1, 1,,3001-Cedar-St-A-316-Austin-TX-78705,https://www.zillow.com/homedetails/3001-Cedar-St-A-316-Austin-TX-78705/29397449_zpid/,
634,Condo,2008,Forced air,Central,2 spaces,$709/month,$742,"$950,000", 2, 2, 2,,360-Nueces-St-APT-3511-Austin-TX-78701,https://www.zillow.com/homedetails/360-Nueces-St-APT-3511-Austin-TX-78701/89548367_zpid/,
635,Multiple Occupancy,2020,"Forced air, Electric",Central,2 spaces,,$463,"$1,400,000", 0, 0,,,1132-Denfield-St-Austin-TX-78721,https://www.zillow.com/homedetails/1132-Denfield-St-Austin-TX-78721/2092515985_zpid/,
636,Single Family,1995,Forced air,Central,2 spaces,None,$241,"$329,900", 3, 2, 2,,2809-Sydney-Dr-Austin-TX-78728,https://www.zillow.com/homedetails/2809-Sydney-Dr-Austin-TX-78728/29451159_zpid/,"7,797 sqft"
