,Type,Year built,Heating,Cooling,Parking,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Address,URL,Lot,Half bathrooms,Date available,Pets,Laundry,Deposit & fees
399,Multiple Occupancy,No Data,Forced air,No Data,2 spaces,,,"$894,900", 11, 4, 4,1839-N-Humboldt-Blvd-Chicago-IL-60647,https://www.zillow.com/homedetails/1839-N-Humboldt-Blvd-Chicago-IL-60647/2077665459_zpid/,,,,,,
400,Multiple Occupancy,1913,"Forced air, Gas",No Data,4 spaces,,,"$449,900", 9, 3, 3,1909-N-Pulaski-Rd-Chicago-IL-60639,https://www.zillow.com/homedetails/1909-N-Pulaski-Rd-Chicago-IL-60639/2077665511_zpid/,,,,,,
401,Condo,1911,Forced air,Central,1 space,$304/month,$342,"$350,000", 2, 2, 1,1677-W-Olive-Ave-2-Chicago-IL-60660,https://www.zillow.com/homedetails/1677-W-Olive-Ave-2-Chicago-IL-60660/80818116_zpid/,, 1,,,,
402,Condo,1990,"Forced air, Electric",Central,1 space,"$1,125/mo",$375,"$469,000", 2, 2, 2,1250-N-Dearborn-St-APT-22B-Chicago-IL-60610,https://www.zillow.com/homedetails/1250-N-Dearborn-St-APT-22B-Chicago-IL-60610/3857790_zpid/,,,,,,
403,Condo,2011,Forced air,Central,1 space,$250/month,No Data,"$439,900", 2, 2, 2,2210-W-Wabansia-Ave-APT-410-Chicago-IL-60647,https://www.zillow.com/homedetails/2210-W-Wabansia-Ave-APT-410-Chicago-IL-60647/54535075_zpid/,,,,,,
404,Multiple Occupancy,1885,"Forced air, Gas",Central,4 spaces,,$500,"$2,000,000", 8, 6, 6,405-W-Eugenie-St-Chicago-IL-60614,https://www.zillow.com/homedetails/405-W-Eugenie-St-Chicago-IL-60614/2111032040_zpid/,,,,,,
405,Condo,1920,Forced air,Central,None,$313/month,$315,"$315,000", 2, 1, 1,3237-N-Oakley-Ave-3N-Chicago-IL-60618,https://www.zillow.com/homedetails/3237-N-Oakley-Ave-3N-Chicago-IL-60618/2077665706_zpid/,,,,,,
406,Condo,1951,"Forced air, Gas",Central,1 space,$424/mo,$214,"$299,900", 3, 3, 2,4346-N-Pulaski-Rd-APT-201-Chicago-IL-60641,https://www.zillow.com/homedetails/4346-N-Pulaski-Rd-APT-201-Chicago-IL-60641/98364882_zpid/,, 1,,,,
407,Single Family,1900,No Data,No Data,6 spaces,,$126,"$165,000", 3, 2, 2,13132-S-Houston-Ave-Chicago-IL-60633,https://www.zillow.com/homedetails/13132-S-Houston-Ave-Chicago-IL-60633/4175304_zpid/,"4,687 sqft",,,,,
408,Single Family,2008,Forced air,Central,2 spaces,None,$232,"$695,000", 5, 4, 3,4422-N-Keeler-Ave-Chicago-IL-60630,https://www.zillow.com/homedetails/4422-N-Keeler-Ave-Chicago-IL-60630/89968343_zpid/,"4,029 sqft", 1,,,,
409,Condo,2008,Forced air,Central,1 space,$500/month,$330,"$380,000", 2, 2, 2,50-E-16th-St-UNIT-1308-Chicago-IL-60616,https://www.zillow.com/homedetails/50-E-16th-St-UNIT-1308-Chicago-IL-60616/113952647_zpid/,,,,,,
410,Condo,1930,"Forced air, Gas",Central,No Data,$369/mo,$386,"$270,000", 1, 1, 1,758-N-Larrabee-St-APT-632-Chicago-IL-60654,https://www.zillow.com/homedetails/758-N-Larrabee-St-APT-632-Chicago-IL-60654/63698946_zpid/,,,,,,
411,Condo,1963,Other,Other,1 space,$688/month,$350,"$297,500", 1, 1, 1,1355-N-Sandburg-Ter-1809D-Chicago-IL-60610,https://www.zillow.com/homedetails/1355-N-Sandburg-Ter-1809D-Chicago-IL-60610/3856381_zpid/,,,,,,
412,Single Family,1905,Forced air,Central,2 spaces,None,$286,"$599,995", 4, 2, 2,1639-N-Campbell-Ave-Chicago-IL-60647,https://www.zillow.com/homedetails/1639-N-Campbell-Ave-Chicago-IL-60647/3689349_zpid/,"3,123 sqft",,,,,
413,Condo,2001,"Forced air, Gas",Central,1 space,$233/mo,$269,"$430,000", 3, 2, 2,1601-W-Altgeld-St-APT-3D-Chicago-IL-60614,https://www.zillow.com/homedetails/1601-W-Altgeld-St-APT-3D-Chicago-IL-60614/60201822_zpid/,,,,,,
414,Condo,1913,No Data,No Data,No Data,$323/mo,,"$275,000", 2, 1, 1,2110-W-Montrose-Ave-APT-3S-Chicago-IL-60618,https://www.zillow.com/homedetails/2110-W-Montrose-Ave-APT-3S-Chicago-IL-60618/87690595_zpid/,,,,,,
415,Condo,1939,Other,Other,1 space,$550/mo,$116,"$99,999", 1, 1, 1,5052-N-Marine-Dr-APT-D4-Chicago-IL-60640,https://www.zillow.com/homedetails/5052-N-Marine-Dr-APT-D4-Chicago-IL-60640/2090759933_zpid/,,,,,,
416,Condo,1990,Forced air,Central,1 space,$639/month,$406,"$315,000", 1, 1, 1,401-E-Ontario-St-APT-4204-Chicago-IL-60611,https://www.zillow.com/homedetails/401-E-Ontario-St-APT-4204-Chicago-IL-60611/58367717_zpid/,,,,,,
417,Single Family,1953,Forced air,Central,2 spaces,,$100,"$142,500", 4, 2, 1,8017-S-Sacramento-Ave-Chicago-IL-60652,https://www.zillow.com/homedetails/8017-S-Sacramento-Ave-Chicago-IL-60652/3977361_zpid/,"3,789 sqft", 1,,,,
418,Multi Family,1905,Gas,No Data,2 spaces,,No Data,"$325,000", 4, 2, 2,4645-W-Montana-St-Chicago-IL-60639,https://www.zillow.com/homedetails/4645-W-Montana-St-Chicago-IL-60639/2077666192_zpid/,,,,,,
419,Condo,1920,Other,Wall,1 space,$323/mo,$330,"$330,000", 2, 1, 1,2835-N-Cambridge-Ave-APT-2-Chicago-IL-60657,https://www.zillow.com/homedetails/2835-N-Cambridge-Ave-APT-2-Chicago-IL-60657/49918148_zpid/,,,,,,
420,Condo,1908,Forced air,Central,1 space,$561/month,No Data,"$475,000", 2, 3, 2,1034-W-Armitage-Ave-A-Chicago-IL-60614,https://www.zillow.com/homedetails/1034-W-Armitage-Ave-A-Chicago-IL-60614/3735807_zpid/,, 1,,,,
421,Condo,1962,"Forced air, Electric",Other,1 space,$412/mo,$450,"$225,000", 0, 1, 1,300-N-State-St-APT-4727-Chicago-IL-60654,https://www.zillow.com/homedetails/300-N-State-St-APT-4727-Chicago-IL-60654/2085023003_zpid/,,,,,,
422,Condo,1925,Forced air,Central,None,$203/month,$163,"$169,999", 2, 1, 1,1635-W-Farwell-Ave-APT-2S-Chicago-IL-60626,https://www.zillow.com/homedetails/1635-W-Farwell-Ave-APT-2S-Chicago-IL-60626/2133200045_zpid/,,,,,,
423,Condo,1957,Baseboard,No Data,No Data,$608/mo,$153,"$137,500", 2, 1, 1,6118-N-Sheridan-Rd-APT-1003-Chicago-IL-60660,https://www.zillow.com/homedetails/6118-N-Sheridan-Rd-APT-1003-Chicago-IL-60660/3690924_zpid/,,,,,,
424,Condo,1920,"Other, Radiant",No Data,1 space,$300/month,$199,"$299,000", 2, 1, 1,6337-N-Glenwood-Ave-1S-Chicago-IL-60660,https://www.zillow.com/homedetails/6337-N-Glenwood-Ave-1S-Chicago-IL-60660/62008405_zpid/,,,,,,
425,Multi Family,1910,Gas,Central,3 spaces,,$849,"$849,000", 7, 5, 5,2733-N-Hamlin-Ave-Chicago-IL-60647,https://www.zillow.com/homedetails/2733-N-Hamlin-Ave-Chicago-IL-60647/2083992172_zpid/,,,,,,
426,Condo,2008,"Forced air, Gas",Central,1 space,$292/mo,$344,"$447,000", 2, 2, 2,2326-W-Giddings-St-APT-303-Chicago-IL-60625,https://www.zillow.com/homedetails/2326-W-Giddings-St-APT-303-Chicago-IL-60625/101237050_zpid/,,,,,,
427,Multiple Occupancy,No Data,Gas,No Data,No Data,,,"$525,000", 5, 2, 2,2135-W-Augusta-Blvd-Chicago-IL-60622,https://www.zillow.com/homedetails/2135-W-Augusta-Blvd-Chicago-IL-60622/2077666822_zpid/,,,,,,
428,Condo,1951,"Forced air, Gas",Central,1 space,"$1,454/mo",$361,"$289,000", 1, 1, 1,880-N-Lake-Shore-Dr-APT-14F-Chicago-IL-60611,https://www.zillow.com/homedetails/880-N-Lake-Shore-Dr-APT-14F-Chicago-IL-60611/2126514551_zpid/,,,,,,
429,Multi Family,1900,Gas,No Data,None,,$499,"$599,000", 12, 7, 7,2623-W-21st-Pl-Chicago-IL-60608,https://www.zillow.com/homedetails/2623-W-21st-Pl-Chicago-IL-60608/306329382_zpid/,,,,,,
430,Condo,1924,Other,Refrigeration,1 space,$300/month,$304,"$395,000", 2, 1, 1,2740-N-Mildred-Ave-2-Chicago-IL-60614,https://www.zillow.com/homedetails/2740-N-Mildred-Ave-2-Chicago-IL-60614/3730058_zpid/,,,,,,
431,Condo,2019,"Forced air, Gas",Central,1 space,$245/mo,$147,"$499,900", 5, 3, 3,6444-S-Woodlawn-Ave-1S-Chicago-IL-60637,https://www.zillow.com/homedetails/6444-S-Woodlawn-Ave-1S-Chicago-IL-60637/2085627504_zpid/,,,,,,
432,Single Family,1967,"Forced air, Gas",Central,No Data,,$115,"$120,000", 4, 2, 1,1044-W-104th-St-Chicago-IL-60643,https://www.zillow.com/homedetails/1044-W-104th-St-Chicago-IL-60643/4143836_zpid/,"3,149 sqft", 1,,,,
433,Condo,2016,Forced air,Central,1 space,$240/month,$317,"$599,999", 3, 3, 2,2133-N-Campbell-Ave-1B-Chicago-IL-60647,https://www.zillow.com/homedetails/2133-N-Campbell-Ave-1B-Chicago-IL-60647/253422241_zpid/,, 1,,,,
434,Condo,2005,"Forced air, Gas",Central,1 space,$348/mo,,"$369,000", 2, 2, 2,1830-W-Foster-Ave-APT-3W-Chicago-IL-60640,https://www.zillow.com/homedetails/1830-W-Foster-Ave-APT-3W-Chicago-IL-60640/2084965903_zpid/,,,,,,
435,Condo,2004,"Forced air, Gas",Central,1 space,$134/mo,$291,"$349,000", 2, 2, 2,1506-N-Campbell-Ave-APT-2N-Chicago-IL-60622,https://www.zillow.com/homedetails/1506-N-Campbell-Ave-APT-2N-Chicago-IL-60622/70463053_zpid/,,,,,,
436,Condo,2016,"Electric, Gas",Central,1 space,$182/month,No Data,"$574,900", 2, 2, 2,1008-N-Larrabee-St-3S-Chicago-IL-60610,https://www.zillow.com/homedetails/1008-N-Larrabee-St-3S-Chicago-IL-60610/253420155_zpid/,,,,,,
437,Townhouse,1987,"Forced air, Gas",Central,1 space,,$289,"$520,000", 2, 3, 2,1445-W-Wrightwood-Ave-A-Chicago-IL-60614,https://www.zillow.com/homedetails/1445-W-Wrightwood-Ave-A-Chicago-IL-60614/2077667820_zpid/,No Data, 1,,,,
438,Condo,2005,Gas,Central,1 space,$256/month,$114,"$330,000", 2, 3, 3,4453-S-Berkeley-Ave-2-Chicago-IL-60653,https://www.zillow.com/homedetails/4453-S-Berkeley-Ave-2-Chicago-IL-60653/89931758_zpid/,,,,,,
439,Single Family,1912,Gas,Central,2 spaces,,$187,"$329,900", 4, 3, 3,4530-N-Melvina-Ave-Chicago-IL-60630,https://www.zillow.com/homedetails/4530-N-Melvina-Ave-Chicago-IL-60630/3650781_zpid/,"3,789 sqft",,,,,
440,Condo,1907,"Forced air, Gas",Central,No Data,$169/mo,,"$225,000", 1, 1, 1,3945-N-Kostner-Ave-2-Chicago-IL-60641,https://www.zillow.com/homedetails/3945-N-Kostner-Ave-2-Chicago-IL-60641/89976862_zpid/,,,,,,
441,Single Family,1958,Gas,Central,2 spaces,,$226,"$244,900", 3, 2, 2,6009-W-55th-St-Chicago-IL-60638,https://www.zillow.com/homedetails/6009-W-55th-St-Chicago-IL-60638/3940568_zpid/,"4,373 sqft",,,,,
442,Condo,2006,Forced air,Central,2 spaces,"$1,207/month",$339,"$699,000", 3, 3, 3,849-N-Franklin-St-UNIT-714-Chicago-IL-60610,https://www.zillow.com/homedetails/849-N-Franklin-St-UNIT-714-Chicago-IL-60610/89927434_zpid/,,,,,,
443,Condo,1913,Forced air,Central,None,$252/month,No Data,"$295,000", 2, 1, 1,1653-W-Addison-St-APT-2A-Chicago-IL-60613,https://www.zillow.com/homedetails/1653-W-Addison-St-APT-2A-Chicago-IL-60613/80846306_zpid/,,,,,,
444,Single Family,1969,Gas,Central,2 spaces,,$235,"$259,000", 4, 2, 2,454-W-44th-St-Chicago-IL-60609,https://www.zillow.com/homedetails/454-W-44th-St-Chicago-IL-60609/3981042_zpid/,"3,175 sqft",,,,,
445,Condo,1892,Forced air,Central,None,$576/month,$312,"$499,000", 3, 2, 2,1500-N-La-Salle-St-4A-Chicago-IL-60610,https://www.zillow.com/homedetails/1500-N-La-Salle-St-4A-Chicago-IL-60610/2077668853_zpid/,,,,,,
446,Condo,1966,"Baseboard, Electric",Refrigerator,1 space,$267/mo,$271,"$189,900", 1, 1, 1,4258-N-Greenview-Ave-APT-2F-Chicago-IL-60613,https://www.zillow.com/homedetails/4258-N-Greenview-Ave-APT-2F-Chicago-IL-60613/3706201_zpid/,,,,,,
447,Multi Family,No Data,Forced air,No Data,2 spaces,,No Data,"$780,000", 5, 2, 2,2421-N-Greenview-Ave-Chicago-IL-60614,https://www.zillow.com/homedetails/2421-N-Greenview-Ave-Chicago-IL-60614/2145236692_zpid/,,,,,,
448,Single Family,1941,Forced air,Central,2 spaces,None,$143,"$199,900", 3, 2, 2,7336-S-Talman-Ave-Chicago-IL-60629,https://www.zillow.com/homedetails/7336-S-Talman-Ave-Chicago-IL-60629/3957659_zpid/,"5,292 sqft",,,,,
449,Condo,1989,Forced air,Central,1 space,$954/month,$384,"$490,000", 2, 2, 2,1122-N-Clark-St-APT-3803-Chicago-IL-60610,https://www.zillow.com/homedetails/1122-N-Clark-St-APT-3803-Chicago-IL-60610/58364435_zpid/,,,,,,
450,Condo,No Data,"Forced air, Gas",Central,1 space,,$424,"$610,000", 2, 2, 2,https:,https://www.zillow.com/community/triangle-square-condos/2079161483_zpid/,,,,,,
451,Condo,1922,"Forced air, Gas",Central,No Data,$444/mo,,"$230,000", 1, 1, 1,1001-W-15th-St-UNIT-127-Chicago-IL-60608,https://www.zillow.com/homedetails/1001-W-15th-St-UNIT-127-Chicago-IL-60608/87694446_zpid/,,,,,,
452,Condo,2008,"Forced air, Gas",Central,1 space,$413/mo,$304,"$214,000", 1, 1, 1,1720-S-Michigan-Ave-APT-1217-Chicago-IL-60616,https://www.zillow.com/homedetails/1720-S-Michigan-Ave-APT-1217-Chicago-IL-60616/101325708_zpid/,,,,,,
453,Condo,1920,Forced air,Central,1 space,$484/month,No Data,"$339,999", 2, 2, 2,1070-W-15th-St-UNIT-303-Chicago-IL-60608,https://www.zillow.com/homedetails/1070-W-15th-St-UNIT-303-Chicago-IL-60608/80849410_zpid/,,,,,,
454,Condo,1986,Gas,No Data,1 space,$200/mo,$197,"$219,900", 2, 2, 2,7117-W-Belmont-Ave-APT-2B-Chicago-IL-60634,https://www.zillow.com/homedetails/7117-W-Belmont-Ave-APT-2B-Chicago-IL-60634/3677398_zpid/,,,,,,
455,Condo,2002,Forced air,Central,1 space,$200/month,$208,"$249,000", 2, 2, 2,2351-W-Congress-Pkwy-APT-1-Chicago-IL-60612,https://www.zillow.com/homedetails/2351-W-Congress-Pkwy-APT-1-Chicago-IL-60612/63703823_zpid/,,,,,,
456,Condo,1973,Forced air,Central,None,$438/month,$307,"$169,000", 1, 1, 1,655-W-Irving-Park-Rd-APT-2709-Chicago-IL-60613,https://www.zillow.com/homedetails/655-W-Irving-Park-Rd-APT-2709-Chicago-IL-60613/65560247_zpid/,,,,,,
457,Condo,2006,Forced air,Central,1 space,$678/month,No Data,"$445,000", 2, 2, 2,700-N-Larrabee-St-APT-1012-Chicago-IL-60654,https://www.zillow.com/homedetails/700-N-Larrabee-St-APT-1012-Chicago-IL-60654/87700650_zpid/,,,,,,
458,Single Family,,Forced air,Other,2 spaces,,,"$1,900", 3,,,3633-W-107th-St-Chicago-IL-60655,https://www.zillow.com/homedetails/3633-W-107th-St-Chicago-IL-60655/4082544_zpid/,,,Contact manager,Contact manager,In Unit,"$2,000"
459,Multiple Occupancy,1892,"Forced air, Gas",No Data,2 spaces,,,"$539,000", 9, 3, 3,4332-S-Langley-Ave-Chicago-IL-60653,https://www.zillow.com/homedetails/4332-S-Langley-Ave-Chicago-IL-60653/2090011831_zpid/,,,,,,
460,Single Family,2007,"Forced air, Gas",Central,2 spaces,,$113,"$130,000", 3, 2, 1,1815-S-Ridgeway-Ave-Chicago-IL-60623,https://www.zillow.com/homedetails/1815-S-Ridgeway-Ave-Chicago-IL-60623/80855367_zpid/,"3,001 sqft", 1,,,,
461,Single Family,2001,Forced air,Central,2 spaces,,$188,"$409,000", 4, 3, 3,6729-W-64th-Pl-Chicago-IL-60638,https://www.zillow.com/homedetails/6729-W-64th-Pl-Chicago-IL-60638/61961779_zpid/,"4,007 sqft",,,,,
462,Condo,2007,"Forced air, Gas",Central,1 space,$509/mo,,"$412,900", 2, 2, 2,901-W-Madison-St-UNIT-411-Chicago-IL-60607,https://www.zillow.com/homedetails/901-W-Madison-St-UNIT-411-Chicago-IL-60607/89971876_zpid/,,,,,,
463,Condo,1906,"Forced air, Gas",Central,1 space,$636/mo,$249,"$229,000", 1, 1, 1,6-E-Monroe-St-APT-804-Chicago-IL-60603,https://www.zillow.com/homedetails/6-E-Monroe-St-APT-804-Chicago-IL-60603/62012858_zpid/,,,,,,
464,Condo,1910,"Forced air, Gas",Central,1 space,$315/mo,$118,"$142,000", 2, 1, 1,1552-E-65th-Pl-3-Chicago-IL-60637,https://www.zillow.com/homedetails/1552-E-65th-Pl-3-Chicago-IL-60637/70478075_zpid/,,,,,,
465,Single Family,1920,Forced air,Central,6 spaces,None,$345,"$379,000", 4, 3, 2,4815-W-Addison-St-Chicago-IL-60641,https://www.zillow.com/homedetails/4815-W-Addison-St-Chicago-IL-60641/3664395_zpid/,"4,687 sqft", 1,,,,
466,Multiple Occupancy,1888,"Forced air, Gas",No Data,2 spaces,,$182,"$299,900", 11, 3, 3,1262-S-Fairfield-Ave-Chicago-IL-60608,https://www.zillow.com/homedetails/1262-S-Fairfield-Ave-Chicago-IL-60608/2140002498_zpid/,,,,,,
467,Condo,1926,Baseboard,Central,1 space,$955/mo,$281,"$425,000", 2, 2, 1,680-N-Lake-Shore-Dr-APT-911-Chicago-IL-60611,https://www.zillow.com/homedetails/680-N-Lake-Shore-Dr-APT-911-Chicago-IL-60611/3866289_zpid/,, 1,,,,
468,Condo,2004,Forced air,Central,1 space,$190/month,$208,"$269,999", 2, 2,,1912-W-Touhy-Ave-APT-2E-Chicago-IL-60626,https://www.zillow.com/homedetails/1912-W-Touhy-Ave-APT-2E-Chicago-IL-60626/70456273_zpid/,,,,,,
469,Single Family,No Data,"Forced air, Gas",Central,1 space,,$738,"$1,660,000", 3, 4, 3,https:,https://www.zillow.com/community/parkline-chicago/2078738228_zpid/,No Data, 1,,,,
470,Condo,1963,"Electric, Gas",No Data,No Data,$784/mo,,"$289,900", 1, 1, 1,1355-N-Sandburg-Ter-APT-1608D-Chicago-IL-60610,https://www.zillow.com/homedetails/1355-N-Sandburg-Ter-APT-1608D-Chicago-IL-60610/2077673274_zpid/,,,,,,
471,Multiple Occupancy,2020,"Forced air, Gas",No Data,3 spaces,,,"$550,000", 8, 6, 6,5722-W-Race-Ave-Chicago-IL-60644,https://www.zillow.com/homedetails/5722-W-Race-Ave-Chicago-IL-60644/101500999_zpid/,,,,,,
472,Single Family,1923,"Forced air, Gas",Central,2 spaces,,$347,"$339,900", 6, 3, 2,5712-W-Grover-St-Chicago-IL-60630,https://www.zillow.com/homedetails/5712-W-Grover-St-Chicago-IL-60630/3635590_zpid/,"3,123 sqft", 1,,,,
473,Condo,1899,Other,Central,None,$156/month,$370,"$349,999", 2, 2, 2,3530-N-Reta-Ave-G-Chicago-IL-60657,https://www.zillow.com/homedetails/3530-N-Reta-Ave-G-Chicago-IL-60657/80843937_zpid/,,,,,,
474,Single Family,1956,Forced air,Central,2 spaces,,$244,"$250,000", 3, 2, 2,7925-S-Albany-Ave-Chicago-IL-60652,https://www.zillow.com/homedetails/7925-S-Albany-Ave-Chicago-IL-60652/3977056_zpid/,"3,781 sqft",,,,,
475,Condo,No Data,Forced air,Central,1 space,$167/month,$154,"$185,000", 3, 2, 1,5124-S-Indiana-Ave-APT-3S-Chicago-IL-60615,https://www.zillow.com/homedetails/5124-S-Indiana-Ave-APT-3S-Chicago-IL-60615/2078966245_zpid/,, 1,,,,
476,Condo,2003,"Forced air, Gas",Central,1 space,$175/mo,,"$229,900", 2, 2, 2,Chicago-IL-60707,https://www.zillow.com/homedetails/Chicago-IL-60707/2077673972_zpid/,,,,,,
477,Single Family,1928,No Data,No Data,2 spaces,,$234,"$449,000", 3, 2, 1,7323-W-Lunt-Ave-Chicago-IL-60631,https://www.zillow.com/homedetails/7323-W-Lunt-Ave-Chicago-IL-60631/3511227_zpid/,"4,720 sqft", 1,,,,
478,Condo,1983,Forced air,Other,1 space,$685/month,$252,"$280,000", 2, 2, 2,801-S-Plymouth-Ct-APT-1110-Chicago-IL-60605,https://www.zillow.com/homedetails/801-S-Plymouth-Ct-APT-1110-Chicago-IL-60605/3872916_zpid/,,,,,,
479,Condo,1973,"Forced air, Electric",Central,1 space,"$1,124/mo",$271,"$325,000", 2, 2, 2,655-W-Irving-Park-Rd-APT-2510-Chicago-IL-60613,https://www.zillow.com/homedetails/655-W-Irving-Park-Rd-APT-2510-Chicago-IL-60613/65560223_zpid/,,,,,,
480,Condo,2006,"Forced air, Gas",Central,1 space,$116/mo,,"$465,000", 2, 2, 2,2951-N-Halsted-St-APT-2-Chicago-IL-60657,https://www.zillow.com/homedetails/2951-N-Halsted-St-APT-2-Chicago-IL-60657/87714466_zpid/,,,,,,
481,Condo,1932,No Data,No Data,1 space,"$1,312/mo",$300,"$750,000", 4, 3, 3,2920-N-Commonwealth-Ave-APT-3B-Chicago-IL-60657,https://www.zillow.com/homedetails/2920-N-Commonwealth-Ave-APT-3B-Chicago-IL-60657/3722648_zpid/,,,,,,
482,Single Family,1928,"Forced air, Gas",Central,2 spaces,,$262,"$453,000", 8, 3, 3,3318-N-Kilbourn-Ave-Chicago-IL-60641,https://www.zillow.com/homedetails/3318-N-Kilbourn-Ave-Chicago-IL-60641/3665973_zpid/,"4,704 sqft",,,,,
483,Multi Family,1925,Forced air,No Data,2 spaces,,$390,"$429,000", 6, 3, 3,5053-W-Deming-Pl-Chicago-IL-60639,https://www.zillow.com/homedetails/5053-W-Deming-Pl-Chicago-IL-60639/2133795989_zpid/,,,,,,
484,Multi Family,1915,Forced air,No Data,2 spaces,,No Data,"$599,900", 5, 3, 3,3711-N-Central-Park-Ave-Chicago-IL-60618,https://www.zillow.com/homedetails/3711-N-Central-Park-Ave-Chicago-IL-60618/2117599353_zpid/,,,,,,
485,Condo,2003,"Forced air, Gas",Central,1 space,$245/mo,,"$538,900", 3, 3, 2,1617-W-Barry-Ave-APT-1W-Chicago-IL-60657,https://www.zillow.com/homedetails/1617-W-Barry-Ave-APT-1W-Chicago-IL-60657/65561830_zpid/,, 1,,,,
486,Single Family,1921,"Other, Gas",Central,2 spaces,,$246,"$399,000", 3, 2, 2,9738-S-Damen-Ave-Chicago-IL-60643,https://www.zillow.com/homedetails/9738-S-Damen-Ave-Chicago-IL-60643/4125471_zpid/,"4,961 sqft",,,,,
487,Multi Family,1927,No Data,No Data,2 spaces,,No Data,"$275,000", 6, 4, 3,5738-S-Archer-Ave-S-Chicago-IL-60638,https://www.zillow.com/homedetails/5738-S-Archer-Ave-S-Chicago-IL-60638/2077674705_zpid/,, 1,,,,
488,Condo,1920,"Forced air, Gas",Central,1 space,$418/mo,$286,"$315,000", 1, 1, 1,1601-W-School-St-APT-213-Chicago-IL-60657,https://www.zillow.com/homedetails/1601-W-School-St-APT-213-Chicago-IL-60657/3710577_zpid/,,,,,,
489,Single Family,1925,Baseboard,No Data,2 spaces,,$177,"$365,000", 2, 1, 1,4311-N-Bernard-St-Chicago-IL-60618,https://www.zillow.com/homedetails/4311-N-Bernard-St-Chicago-IL-60618/3645515_zpid/,"3,123 sqft",,,,,
490,Condo,1998,"Forced air, Gas",Central,1 space,$289/mo,$269,"$349,900", 2, 2, 2,1623-W-Grand-Ave-APT-3E-Chicago-IL-60622,https://www.zillow.com/homedetails/1623-W-Grand-Ave-APT-3E-Chicago-IL-60622/54537434_zpid/,,,,,,
491,Condo,1885,"Forced air, Gas",Central,1 space,$324/mo,$454,"$499,900", 2, 2, 2,450-W-Armitage-Ave-3-Chicago-IL-60614,https://www.zillow.com/homedetails/450-W-Armitage-Ave-3-Chicago-IL-60614/70462262_zpid/,,,,,,
492,Condo,1958,Gas,No Data,1 space,$428/mo,$233,"$139,500", 0, 1, 1,253-E-Delaware-Pl-APT-19D-Chicago-IL-60611,https://www.zillow.com/homedetails/253-E-Delaware-Pl-APT-19D-Chicago-IL-60611/3851136_zpid/,,,,,,
493,Condo,No Data,Forced air,Central,1 space,$288/month,$273,"$519,000", 3, 3, 2,1807-N-Orleans-St-APT-GS-Chicago-IL-60614,https://www.zillow.com/homedetails/1807-N-Orleans-St-APT-GS-Chicago-IL-60614/2085039956_zpid/,, 1,,,,
494,Condo,1972,Electric,No Data,1 space,$231/mo,,"$130,000", 1, 1, 1,2320-N-Nordica-Ave-APT-403-Chicago-IL-60707,https://www.zillow.com/homedetails/2320-N-Nordica-Ave-APT-403-Chicago-IL-60707/3680349_zpid/,,,,,,
495,Condo,2009,Gas,Central,1 space,$384/month,$359,"$299,000", 1, 1, 1,1800-W-Grace-St-302-Chicago-IL-60613,https://www.zillow.com/homedetails/1800-W-Grace-St-302-Chicago-IL-60613/2137208699_zpid/,,,,,,
496,Condo,2009,Electric,Central,1 space,$407/month,No Data,"$289,900", 1, 1, 1,565-W-Quincy-St-UNIT-801-Chicago-IL-60661,https://www.zillow.com/homedetails/565-W-Quincy-St-UNIT-801-Chicago-IL-60661/306334092_zpid/,,,,,,
497,Multiple Occupancy,1906,Gas,Central,2 spaces,,,"$3,000,000", 4, 5, 2,2528-N-California-Ave-Chicago-IL-60647,https://www.zillow.com/homedetails/2528-N-California-Ave-Chicago-IL-60647/2077676629_zpid/,, 3,,,,
498,Condo,1949,"Forced air, Gas",Central,1 space,"$1,153/mo",$368,"$700,000", 3, 3, 2,130-S-Canal-St-APT-9Q-Chicago-IL-60606,https://www.zillow.com/homedetails/130-S-Canal-St-APT-9Q-Chicago-IL-60606/58368894_zpid/,, 1,,,,
499,Condo,2002,"Forced air, Gas",Central,1 space,$279/mo,$232,"$277,800", 2, 2, 2,3113-W-Lawrence-Ave-APT-A201-Chicago-IL-60625,https://www.zillow.com/homedetails/3113-W-Lawrence-Ave-APT-A201-Chicago-IL-60625/2077676671_zpid/,,,,,,
500,Condo,1968,No Data,No Data,No Data,$229/mo,$295,"$155,000", 0, 1, 1,2626-N-Lakeview-Ave-APT-2110-Chicago-IL-60614,https://www.zillow.com/homedetails/2626-N-Lakeview-Ave-APT-2110-Chicago-IL-60614/3725735_zpid/,,,,,,
501,Condo,1903,Forced air,Central,1 space,No Data,$268,"$375,000", 2, 2, 2,4521-N-Ashland-Ave-APT-3N-Chicago-IL-60640,https://www.zillow.com/homedetails/4521-N-Ashland-Ave-APT-3N-Chicago-IL-60640/61959682_zpid/,,,,,,
502,Condo,1906,"Other, Gas",Refrigerator,2 spaces,$658/mo,$187,"$449,000", 4, 2, 2,668-W-Irving-Park-Rd-APT-H4-Chicago-IL-60613,https://www.zillow.com/homedetails/668-W-Irving-Park-Rd-APT-H4-Chicago-IL-60613/3705074_zpid/,,,,,,
