,Type,Year built,Heating,Cooling,Parking,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Address,URL,Lot,Half bathrooms,Date available,Pets,Laundry,Deposit & fees
270,Condo,No Data,Forced air,Central,None,$155/month,$168,"$167,900", 2, 2, 2,3849-W-Ainslie-St-2-Chicago-IL-60625,https://www.zillow.com/homedetails/3849-W-Ainslie-St-2-Chicago-IL-60625/2078631264_zpid/,,,,,,
271,Condo,1968,"Other, Gas",Central,1 space,"$1,048/mo",$239,"$299,000", 2, 2, 2,1700-E-56th-St-APT-1608-Chicago-IL-60637,https://www.zillow.com/homedetails/1700-E-56th-St-APT-1608-Chicago-IL-60637/3988940_zpid/,,,,,,
272,Single Family,1951,Forced air,Central,2 spaces,,$231,"$350,000", 5, 2, 2,3819-N-Neva-Ave-Chicago-IL-60634,https://www.zillow.com/homedetails/3819-N-Neva-Ave-Chicago-IL-60634/3655584_zpid/,"4,225 sqft",,,,,
273,Multiple Occupancy,1905,Gas,No Data,2 spaces,,,"$430,000", 9, 5, 5,3043-W-38th-Pl-Chicago-IL-60632,https://www.zillow.com/homedetails/3043-W-38th-Pl-Chicago-IL-60632/2077655422_zpid/,,,,,,
274,Multi Family,1941,Forced air,No Data,2 spaces,,No Data,"$196,900", 6, 2, 2,9514-S-La-Salle-St-Chicago-IL-60628,https://www.zillow.com/homedetails/9514-S-La-Salle-St-Chicago-IL-60628/2136998751_zpid/,,,,,,
275,Single Family,1948,"Forced air, Gas",Central,2 spaces,,$185,"$389,000", 3, 3, 2,6218-N-Lowell-Ave-Chicago-IL-60646,https://www.zillow.com/homedetails/6218-N-Lowell-Ave-Chicago-IL-60646/3622394_zpid/,"4,007 sqft", 1,,,,
276,Condo,1900,Forced air,Central,None,$215/month,$227,"$169,900", 1, 1, 1,827-W-Lawrence-Ave-APT-2S-Chicago-IL-60640,https://www.zillow.com/homedetails/827-W-Lawrence-Ave-APT-2S-Chicago-IL-60640/62002698_zpid/,,,,,,
277,Single Family,1961,Forced air,Central,None,None,$230,"$235,000", 5, 2, 2,5129-S-Homan-Ave-Chicago-IL-60632,https://www.zillow.com/homedetails/5129-S-Homan-Ave-Chicago-IL-60632/3928656_zpid/,"3,149 sqft",,,,,
278,Single Family,1966,Gas,Central,2 spaces,,$20,"$199,000", 4, 2, 2,8919-S-Halsted-St-Chicago-IL-60620,https://www.zillow.com/homedetails/8919-S-Halsted-St-Chicago-IL-60620/4118449_zpid/,"2,744 sqft",,,,,
279,Condo,2008,Gas,Central,1 space,$403/mo,$366,"$275,000", 1, 1, 1,1400-S-Michigan-Ave-APT-1607-Chicago-IL-60605,https://www.zillow.com/homedetails/1400-S-Michigan-Ave-APT-1607-Chicago-IL-60605/2090431189_zpid/,,,,,,
280,Single Family,1920,"Forced air, Gas",Central,2 spaces,,$178,"$209,900", 4, 3, 3,738-E-88th-Pl-Chicago-IL-60619,https://www.zillow.com/homedetails/738-E-88th-Pl-Chicago-IL-60619/4116097_zpid/,"4,617 sqft",,,,,
281,Single Family,1879,Forced air,No Data,1 space,,$131,"$170,000", 5, 2, 2,7118-S-Sangamon-St-Chicago-IL-60621,https://www.zillow.com/homedetails/7118-S-Sangamon-St-Chicago-IL-60621/4008259_zpid/,"3,125 sqft",,,,,
282,Single Family,1922,"Forced air, Gas",Central,2 spaces,,$189,"$599,000", 6, 3, 3,5123-N-Kostner-Ave-Chicago-IL-60630,https://www.zillow.com/homedetails/5123-N-Kostner-Ave-Chicago-IL-60630/3639146_zpid/,"3,811 sqft",,,,,
283,Condo,1963,Forced air,Central,1 space,"$1,040/month",$206,"$339,900", 2, 2, 2,3150-N-Lake-Shore-Dr-APT-17D-Chicago-IL-60657,https://www.zillow.com/homedetails/3150-N-Lake-Shore-Dr-APT-17D-Chicago-IL-60657/3721819_zpid/,,,,,,
284,Condo,1919,"Forced air, Gas",Central,1 space,$622/mo,$319,"$424,900", 2, 2, 2,360-W-Illinois-St-APT-107-Chicago-IL-60654,https://www.zillow.com/homedetails/360-W-Illinois-St-APT-107-Chicago-IL-60654/60268358_zpid/,,,,,,
285,Single Family,1944,"Forced air, Gas",Central,2 spaces,,$147,"$249,900", 4, 2, 2,7932-S-Perry-Ave-Chicago-IL-60620,https://www.zillow.com/homedetails/7932-S-Perry-Ave-Chicago-IL-60620/4016949_zpid/,"3,702 sqft",,,,,
286,Multi Family,1880,Forced air,No Data,2 spaces,,No Data,"$775,000", 7, 3, 3,2453-W-Diversey-Ave-Chicago-IL-60647,https://www.zillow.com/homedetails/2453-W-Diversey-Ave-Chicago-IL-60647/2090380911_zpid/,,,,,,
287,Multi Family,1898,Gas,No Data,2 spaces,,No Data,"$54,900", 6, 2, 2,8316-S-Muskegon-Ave-Chicago-IL-60617,https://www.zillow.com/homedetails/8316-S-Muskegon-Ave-Chicago-IL-60617/2077657443_zpid/,,,,,,
288,Multi Family,2020,Forced air,Central,1 space,,$523,"$1,650,900", 4, 4, 3,https:,https://www.zillow.com/community/ca6-condos/2079055031_zpid/,, 1,,,,
289,Condo,No Data,"Forced air, Gas",Central,42 spaces,$468/mo,$650,"$1,085,000", 3, 3, 2,1400-W-Monroe-St-5F-Chicago-IL-60607,https://www.zillow.com/homedetails/1400-W-Monroe-St-5F-Chicago-IL-60607/2077657530_zpid/,, 1,,,,
290,Condo,1911,Forced air,Central,4 spaces,"$1,197/month",$843,"$4,300,000", 4, 4, 4,14-N-Peoria-St-6H-7H-Chicago-IL-60607,https://www.zillow.com/homedetails/14-N-Peoria-St-6H-7H-Chicago-IL-60607/2077657719_zpid/,,,,,,
291,Multi Family,1910,Gas,No Data,2 spaces,,No Data,"$279,000", 6, 2, 2,5731-S-Sangamon-St-Chicago-IL-60621,https://www.zillow.com/homedetails/5731-S-Sangamon-St-Chicago-IL-60621/2077657773_zpid/,,,,,,
292,Condo,1922,Gas,Central,1 space,$184/month,No Data,"$155,000", 1, 1, 1,4950-N-Kimball-Ave-APT-2W-Chicago-IL-60625,https://www.zillow.com/homedetails/4950-N-Kimball-Ave-APT-2W-Chicago-IL-60625/80855160_zpid/,,,,,,
293,Condo,2002,"Forced air, Gas",Central,1 space,$136/mo,$390,"$435,000", 2, 2, 2,2031-W-Crystal-St-2-Chicago-IL-60622,https://www.zillow.com/homedetails/2031-W-Crystal-St-2-Chicago-IL-60622/65548325_zpid/,,,,,,
294,Condo,2020,"Forced air, Gas",Central,1 space,$300/mo,$356,"$819,900", 4, 3, 2,1157-W-Erie-St-3W-Chicago-IL-60642,https://www.zillow.com/homedetails/1157-W-Erie-St-3W-Chicago-IL-60642/2080137981_zpid/,, 1,,,,
295,Condo,2012,Gas,Central,2 spaces,$319/month,$257,"$745,000", 4, 3, 3,2103-N-Campbell-Ave-APT-1S-Chicago-IL-60647,https://www.zillow.com/homedetails/2103-N-Campbell-Ave-APT-1S-Chicago-IL-60647/123561167_zpid/,,,,,,
