,Year built,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,Lot,Type_Condo,Type_Mobile / Manufactured,Type_Multi Family,Type_Multiple Occupancy,Type_Single Family,Type_Townhouse,"Cooling_Central, Evaporative","Cooling_Central, Wall",Cooling_Evaporative,Cooling_None,Cooling_Other,Cooling_Wall,City
451,2019.0,400000.0,243.0,400000.0,3.0,2.0,2.0,0,7840.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
452,2018.0,1490000.0,663.0,1490000.0,3.0,3.0,2.0,1,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
453,1935.0,2595000.0,676.0,2595000.0,5.0,4.0,4.0,0,11761.2,0,0,0,0,1,0,0,0,0,0,0,0,Austin
454,1985.0,470000.0,189.0,470000.0,4.0,3.0,2.0,1,12196.8,0,0,0,0,1,0,0,0,0,0,0,0,Austin
455,1981.0,290000.0,312.0,290000.0,2.0,2.0,2.0,0,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
456,,532990.0,155.0,532990.0,3.0,3.0,2.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
457,1938.0,399000.0,386.0,399000.0,2.0,2.0,2.0,0,9234.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
458,2020.0,449990.0,266.0,449990.0,3.0,3.0,2.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
459,1986.0,4650000.0,696.0,4650000.0,6.0,7.0,5.0,2,76665.6,0,0,0,0,1,0,0,0,0,0,0,0,Austin
460,2018.0,990000.0,907.0,990000.0,1.0,2.0,1.0,1,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
461,,244990.0,193.0,244990.0,3.0,3.0,2.0,1,,0,0,0,0,0,1,0,0,0,1,0,0,Austin
462,1985.0,270000.0,300.0,270000.0,2.0,2.0,2.0,0,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
463,,592990.0,177.0,592990.0,4.0,3.0,3.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
464,,550990.0,212.0,550990.0,4.0,3.0,3.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
