,Type,Year built,Heating,Cooling,Parking,Total Price,Bedrooms,Bathrooms,Full bathrooms,Address,URL,HOA,Lot,Price/sqft,Half bathrooms,Date available,Pets,Laundry,Deposit & fees
387,Condo,1957,Baseboard,No Data,None,"$137,500", 2, 1, 1,6118-N-Sheridan-Rd-APT-1003-Chicago-IL-60660,https://www.zillow.com/homedetails/6118-N-Sheridan-Rd-APT-1003-Chicago-IL-60660/3690924_zpid/,$608/month,,$153,,,,,
388,Condo,1925,Forced air,Central,None,"$169,999", 2, 1, 1,1635-W-Farwell-Ave-APT-2S-Chicago-IL-60626,https://www.zillow.com/homedetails/1635-W-Farwell-Ave-APT-2S-Chicago-IL-60626/2133200045_zpid/,$203/month,,$163,,,,,
389,Condo,1920,"Other, Radiant",No Data,1 space,"$299,000", 2, 1, 1,6337-N-Glenwood-Ave-1S-Chicago-IL-60660,https://www.zillow.com/homedetails/6337-N-Glenwood-Ave-1S-Chicago-IL-60660/62008405_zpid/,$300/month,,$199,,,,,
390,Multi Family,1910,Gas,Central,3 spaces,"$849,000", 7, 5, 5,2733-N-Hamlin-Ave-Chicago-IL-60647,https://www.zillow.com/homedetails/2733-N-Hamlin-Ave-Chicago-IL-60647/2083992172_zpid/,,,$849,,,,,
391,Condo,2008,Forced air,Central,1 space,"$447,000", 2, 2, 2,2326-W-Giddings-St-APT-303-Chicago-IL-60625,https://www.zillow.com/homedetails/2326-W-Giddings-St-APT-303-Chicago-IL-60625/101237050_zpid/,$292/month,,$344,,,,,
392,Multiple Occupancy,No Data,Gas,No Data,No Data,"$525,000", 5, 2, 2,2135-W-Augusta-Blvd-Chicago-IL-60622,https://www.zillow.com/homedetails/2135-W-Augusta-Blvd-Chicago-IL-60622/2077666822_zpid/,,,,,,,,
393,Condo,1951,Forced air,Central,1 space,"$289,000", 1, 1, 1,880-N-Lake-Shore-Dr-APT-14F-Chicago-IL-60611,https://www.zillow.com/homedetails/880-N-Lake-Shore-Dr-APT-14F-Chicago-IL-60611/2126514551_zpid/,"$1,454/month",,$361,,,,,
394,Multiple Occupancy,1900,Gas,No Data,No Data,"$599,000", 12, 7, 7,2623-W-21st-Pl-Chicago-IL-60608,https://www.zillow.com/homedetails/2623-W-21st-Pl-Chicago-IL-60608/306329382_zpid/,,,$499,,,,,
395,Condo,1924,Other,Refrigeration,1 space,"$395,000", 2, 1, 1,2740-N-Mildred-Ave-2-Chicago-IL-60614,https://www.zillow.com/homedetails/2740-N-Mildred-Ave-2-Chicago-IL-60614/3730058_zpid/,$300/month,,$304,,,,,
396,Single Family,1967,Forced air,Central,None,"$120,000", 4, 2, 1,1044-W-104th-St-Chicago-IL-60643,https://www.zillow.com/homedetails/1044-W-104th-St-Chicago-IL-60643/4143836_zpid/,None,"3,149 sqft",$115, 1,,,,
397,Condo,2019,Forced air,Central,1 space,"$499,900", 5, 3, 3,6444-S-Woodlawn-Ave-1S-Chicago-IL-60637,https://www.zillow.com/homedetails/6444-S-Woodlawn-Ave-1S-Chicago-IL-60637/2085627504_zpid/,$245/month,,$147,,,,,
398,Condo,2016,Forced air,Central,1 space,"$599,999", 3, 3, 2,2133-N-Campbell-Ave-1B-Chicago-IL-60647,https://www.zillow.com/homedetails/2133-N-Campbell-Ave-1B-Chicago-IL-60647/253422241_zpid/,$240/month,,$317, 1,,,,
399,Condo,2005,"Forced air, Gas",Central,1 space,"$369,000", 2, 2, 2,1830-W-Foster-Ave-APT-3W-Chicago-IL-60640,https://www.zillow.com/homedetails/1830-W-Foster-Ave-APT-3W-Chicago-IL-60640/2084965903_zpid/,$348/mo,,,,,,,
400,Condo,2004,Forced air,Central,1 space,"$349,000", 2, 2, 2,1506-N-Campbell-Ave-APT-2N-Chicago-IL-60622,https://www.zillow.com/homedetails/1506-N-Campbell-Ave-APT-2N-Chicago-IL-60622/70463053_zpid/,$134/month,,$291,,,,,
401,Condo,2016,"Electric, Gas",Central,1 space,"$574,900", 2, 2, 2,1008-N-Larrabee-St-3S-Chicago-IL-60610,https://www.zillow.com/homedetails/1008-N-Larrabee-St-3S-Chicago-IL-60610/253420155_zpid/,$182/month,,No Data,,,,,
402,Townhouse,1987,"Forced air, Gas",Central,1 space,"$520,000", 2, 3, 2,1445-W-Wrightwood-Ave-A-Chicago-IL-60614,https://www.zillow.com/homedetails/1445-W-Wrightwood-Ave-A-Chicago-IL-60614/2077667820_zpid/,,No Data,$289, 1,,,,
403,Condo,2005,Gas,Central,1 space,"$330,000", 2, 3, 3,4453-S-Berkeley-Ave-2-Chicago-IL-60653,https://www.zillow.com/homedetails/4453-S-Berkeley-Ave-2-Chicago-IL-60653/89931758_zpid/,$256/month,,$114,,,,,
404,Single Family,1912,Gas,Central,2 spaces,"$329,900", 4, 3, 3,4530-N-Melvina-Ave-Chicago-IL-60630,https://www.zillow.com/homedetails/4530-N-Melvina-Ave-Chicago-IL-60630/3650781_zpid/,,"3,789 sqft",$187,,,,,
405,Condo,1907,"Forced air, Gas",Central,No Data,"$225,000", 1, 1, 1,3945-N-Kostner-Ave-2-Chicago-IL-60641,https://www.zillow.com/homedetails/3945-N-Kostner-Ave-2-Chicago-IL-60641/89976862_zpid/,$169/mo,,,,,,,
406,Single Family,1958,Gas,Central,2 spaces,"$244,900", 3, 2, 2,6009-W-55th-St-Chicago-IL-60638,https://www.zillow.com/homedetails/6009-W-55th-St-Chicago-IL-60638/3940568_zpid/,,"4,373 sqft",$226,,,,,
407,Condo,2006,Forced air,Central,2 spaces,"$699,000", 3, 3, 3,849-N-Franklin-St-UNIT-714-Chicago-IL-60610,https://www.zillow.com/homedetails/849-N-Franklin-St-UNIT-714-Chicago-IL-60610/89927434_zpid/,"$1,207/month",,$339,,,,,
408,Condo,1913,Forced air,Central,None,"$295,000", 2, 1, 1,1653-W-Addison-St-APT-2A-Chicago-IL-60613,https://www.zillow.com/homedetails/1653-W-Addison-St-APT-2A-Chicago-IL-60613/80846306_zpid/,$252/month,,No Data,,,,,
409,Single Family,1969,Gas,Central,2 spaces,"$259,000", 4, 2, 2,454-W-44th-St-Chicago-IL-60609,https://www.zillow.com/homedetails/454-W-44th-St-Chicago-IL-60609/3981042_zpid/,,"3,175 sqft",$235,,,,,
410,Condo,1892,"Forced air, Gas",Central,No Data,"$499,000", 3, 2, 2,1500-N-La-Salle-St-4A-Chicago-IL-60610,https://www.zillow.com/homedetails/1500-N-La-Salle-St-4A-Chicago-IL-60610/2077668853_zpid/,$576/mo,,$312,,,,,
411,Condo,1966,"Baseboard, Electric",Refrigerator,1 space,"$189,900", 1, 1, 1,4258-N-Greenview-Ave-APT-2F-Chicago-IL-60613,https://www.zillow.com/homedetails/4258-N-Greenview-Ave-APT-2F-Chicago-IL-60613/3706201_zpid/,$267/mo,,$271,,,,,
412,Multiple Occupancy,No Data,"Forced air, Gas",No Data,2 spaces,"$780,000", 5, 2, 2,2421-N-Greenview-Ave-Chicago-IL-60614,https://www.zillow.com/homedetails/2421-N-Greenview-Ave-Chicago-IL-60614/2145236692_zpid/,,,,,,,,
413,Single Family,1941,Forced air,Central,2 spaces,"$199,900", 3, 2, 2,7336-S-Talman-Ave-Chicago-IL-60629,https://www.zillow.com/homedetails/7336-S-Talman-Ave-Chicago-IL-60629/3957659_zpid/,None,"5,292 sqft",$143,,,,,
414,Condo,1989,Forced air,Central,1 space,"$490,000", 2, 2, 2,1122-N-Clark-St-APT-3803-Chicago-IL-60610,https://www.zillow.com/homedetails/1122-N-Clark-St-APT-3803-Chicago-IL-60610/58364435_zpid/,$954/month,,$384,,,,,
415,Condo,2020,Forced air,Central,1 space,"$610,000", 2, 2, 2,https:,https://www.zillow.com/community/triangle-square-condos/2079161483_zpid/,No Data,,$424,,,,,
416,Condo,1922,"Forced air, Gas",Central,No Data,"$230,000", 1, 1, 1,1001-W-15th-St-UNIT-127-Chicago-IL-60608,https://www.zillow.com/homedetails/1001-W-15th-St-UNIT-127-Chicago-IL-60608/87694446_zpid/,$444/mo,,,,,,,
417,Condo,2008,"Forced air, Gas",Central,1 space,"$214,000", 1, 1, 1,1720-S-Michigan-Ave-APT-1217-Chicago-IL-60616,https://www.zillow.com/homedetails/1720-S-Michigan-Ave-APT-1217-Chicago-IL-60616/101325708_zpid/,$413/mo,,$304,,,,,
418,Condo,1920,Forced air,Central,1 space,"$339,999", 2, 2, 2,1070-W-15th-St-UNIT-303-Chicago-IL-60608,https://www.zillow.com/homedetails/1070-W-15th-St-UNIT-303-Chicago-IL-60608/80849410_zpid/,$484/month,,No Data,,,,,
419,Condo,1986,Gas,No Data,1 space,"$219,900", 2, 2, 2,7117-W-Belmont-Ave-APT-2B-Chicago-IL-60634,https://www.zillow.com/homedetails/7117-W-Belmont-Ave-APT-2B-Chicago-IL-60634/3677398_zpid/,$200/mo,,$197,,,,,
420,Condo,2002,Forced air,Central,1 space,"$249,000", 2, 2, 2,2351-W-Congress-Pkwy-APT-1-Chicago-IL-60612,https://www.zillow.com/homedetails/2351-W-Congress-Pkwy-APT-1-Chicago-IL-60612/63703823_zpid/,$200/month,,$208,,,,,
421,Condo,1973,Forced air,Central,None,"$169,000", 1, 1, 1,655-W-Irving-Park-Rd-APT-2709-Chicago-IL-60613,https://www.zillow.com/homedetails/655-W-Irving-Park-Rd-APT-2709-Chicago-IL-60613/65560247_zpid/,$438/month,,$307,,,,,
422,Condo,2006,"Forced air, Gas",Central,1 space,"$445,000", 2, 2, 2,700-N-Larrabee-St-APT-1012-Chicago-IL-60654,https://www.zillow.com/homedetails/700-N-Larrabee-St-APT-1012-Chicago-IL-60654/87700650_zpid/,$678/mo,,,,,,,
423,Single Family,,Forced air,Other,2 spaces,"$1,900", 3, 2,,3633-W-107th-St-Chicago-IL-60655,https://www.zillow.com/homedetails/3633-W-107th-St-Chicago-IL-60655/4082544_zpid/,,,$2,,Contact manager,Contact manager,In Unit,Contact manager
424,Condo,1910,"Forced air, Gas",Central,1 space,"$142,000", 2, 1, 1,1552-E-65th-Pl-3-Chicago-IL-60637,https://www.zillow.com/homedetails/1552-E-65th-Pl-3-Chicago-IL-60637/70478075_zpid/,$315/mo,,$118,,,,,
425,Condo,1906,Forced air,Central,1 space,"$229,000", 1, 1, 1,6-E-Monroe-St-APT-804-Chicago-IL-60603,https://www.zillow.com/homedetails/6-E-Monroe-St-APT-804-Chicago-IL-60603/62012858_zpid/,$636/month,,$249,,,,,
426,Single Family,2001,Forced air,Central,2 spaces,"$409,000", 4, 3, 3,6729-W-64th-Pl-Chicago-IL-60638,https://www.zillow.com/homedetails/6729-W-64th-Pl-Chicago-IL-60638/61961779_zpid/,,"4,007 sqft",$188,,,,,
427,Single Family,2007,Forced air,Central,2 spaces,"$130,000", 3, 2, 1,1815-S-Ridgeway-Ave-Chicago-IL-60623,https://www.zillow.com/homedetails/1815-S-Ridgeway-Ave-Chicago-IL-60623/80855367_zpid/,None,"3,001 sqft",$113, 1,,,,
428,Condo,2007,"Forced air, Gas",Central,1 space,"$412,900", 2, 2, 2,901-W-Madison-St-UNIT-411-Chicago-IL-60607,https://www.zillow.com/homedetails/901-W-Madison-St-UNIT-411-Chicago-IL-60607/89971876_zpid/,$509/mo,,,,,,,
429,Multi Family,1892,Forced air,No Data,2 spaces,"$539,000", 9, 3, 3,4332-S-Langley-Ave-Chicago-IL-60653,https://www.zillow.com/homedetails/4332-S-Langley-Ave-Chicago-IL-60653/2090011831_zpid/,,,No Data,,,,,
430,Single Family,1920,Forced air,Central,6 spaces,"$379,000", 4, 3, 2,4815-W-Addison-St-Chicago-IL-60641,https://www.zillow.com/homedetails/4815-W-Addison-St-Chicago-IL-60641/3664395_zpid/,None,"4,687 sqft",$345, 1,,,,
431,Multiple Occupancy,1888,"Forced air, Gas",No Data,2 spaces,"$299,900", 11, 3, 3,1262-S-Fairfield-Ave-Chicago-IL-60608,https://www.zillow.com/homedetails/1262-S-Fairfield-Ave-Chicago-IL-60608/2140002498_zpid/,,,$182,,,,,
432,Condo,1926,Baseboard,Central,1 space,"$425,000", 2, 2, 1,680-N-Lake-Shore-Dr-APT-911-Chicago-IL-60611,https://www.zillow.com/homedetails/680-N-Lake-Shore-Dr-APT-911-Chicago-IL-60611/3866289_zpid/,$955/mo,,$281, 1,,,,
433,Condo,2004,"Forced air, Gas",Central,1 space,"$269,999", 2, 2,,1912-W-Touhy-Ave-APT-2E-Chicago-IL-60626,https://www.zillow.com/homedetails/1912-W-Touhy-Ave-APT-2E-Chicago-IL-60626/70456273_zpid/,$190/mo,,$208,,,,,
434,Single Family,2020,Forced air,Central,1 space,"$1,660,000", 3, 4, 3,https:,https://www.zillow.com/community/parkline-chicago/2078738228_zpid/,,No Data,$738, 1,,,,
435,Condo,1963,"Electric, Gas",No Data,Attached Garage,"$289,900", 1, 1, 1,1355-N-Sandburg-Ter-APT-1608D-Chicago-IL-60610,https://www.zillow.com/homedetails/1355-N-Sandburg-Ter-APT-1608D-Chicago-IL-60610/2077673274_zpid/,$784/month,,No Data,,,,,
436,Multi Family,2020,Forced air,No Data,3 spaces,"$550,000", 8, 6, 6,5722-W-Race-Ave-Chicago-IL-60644,https://www.zillow.com/homedetails/5722-W-Race-Ave-Chicago-IL-60644/101500999_zpid/,,,No Data,,,,,
437,Single Family,1923,"Forced air, Gas",Central,2 spaces,"$339,900", 6, 3, 2,5712-W-Grover-St-Chicago-IL-60630,https://www.zillow.com/homedetails/5712-W-Grover-St-Chicago-IL-60630/3635590_zpid/,,"3,123 sqft",$347, 1,,,,
438,Condo,1899,"Other, Gas",Central,No Data,"$349,999", 2, 2, 2,3530-N-Reta-Ave-G-Chicago-IL-60657,https://www.zillow.com/homedetails/3530-N-Reta-Ave-G-Chicago-IL-60657/80843937_zpid/,$156/mo,,$370,,,,,
439,Single Family,1956,Forced air,Central,2 spaces,"$250,000", 3, 2, 2,7925-S-Albany-Ave-Chicago-IL-60652,https://www.zillow.com/homedetails/7925-S-Albany-Ave-Chicago-IL-60652/3977056_zpid/,,"3,781 sqft",$244,,,,,
440,Condo,No Data,Forced air,Central,1 space,"$185,000", 3, 2, 1,5124-S-Indiana-Ave-APT-3S-Chicago-IL-60615,https://www.zillow.com/homedetails/5124-S-Indiana-Ave-APT-3S-Chicago-IL-60615/2078966245_zpid/,$167/month,,$154, 1,,,,
441,Single Family,1957,No Data,Central,2 spaces,"$330,000", 4, 2, 2,6050-S-Merrimac-Ave-Chicago-IL-60638,https://www.zillow.com/homedetails/6050-S-Merrimac-Ave-Chicago-IL-60638/3942419_zpid/,,"4,486 sqft",$248,,,,,
442,Condo,2003,Forced air,Central,1 space,"$229,900", 2, 2, 2,Chicago-IL-60707,https://www.zillow.com/homedetails/Chicago-IL-60707/2077673972_zpid/,$175/month,,No Data,,,,,
443,Single Family,1928,No Data,No Data,2 spaces,"$449,000", 3, 2, 1,7323-W-Lunt-Ave-Chicago-IL-60631,https://www.zillow.com/homedetails/7323-W-Lunt-Ave-Chicago-IL-60631/3511227_zpid/,,"4,720 sqft",$234, 1,,,,
444,Condo,1983,Forced air,Other,1 space,"$280,000", 2, 2, 2,801-S-Plymouth-Ct-APT-1110-Chicago-IL-60605,https://www.zillow.com/homedetails/801-S-Plymouth-Ct-APT-1110-Chicago-IL-60605/3872916_zpid/,$685/month,,$252,,,,,
445,Condo,1973,Forced air,Central,1 space,"$325,000", 2, 2, 2,655-W-Irving-Park-Rd-APT-2510-Chicago-IL-60613,https://www.zillow.com/homedetails/655-W-Irving-Park-Rd-APT-2510-Chicago-IL-60613/65560223_zpid/,"$1,124/month",,$271,,,,,
446,Condo,2006,"Forced air, Gas",Central,1 space,"$465,000", 2, 2, 2,2951-N-Halsted-St-APT-2-Chicago-IL-60657,https://www.zillow.com/homedetails/2951-N-Halsted-St-APT-2-Chicago-IL-60657/87714466_zpid/,$116/mo,,,,,,,
447,Condo,1932,No Data,No Data,1 space,"$750,000", 4, 3, 3,2920-N-Commonwealth-Ave-APT-3B-Chicago-IL-60657,https://www.zillow.com/homedetails/2920-N-Commonwealth-Ave-APT-3B-Chicago-IL-60657/3722648_zpid/,"$1,312/month",,$300,,,,,
448,Multi Family,1925,Forced air,No Data,2 spaces,"$429,000", 6, 3, 3,5053-W-Deming-Pl-Chicago-IL-60639,https://www.zillow.com/homedetails/5053-W-Deming-Pl-Chicago-IL-60639/2133795989_zpid/,,,$390,,,,,
449,Single Family,1928,"Forced air, Gas",Central,2 spaces,"$453,000", 8, 3, 3,3318-N-Kilbourn-Ave-Chicago-IL-60641,https://www.zillow.com/homedetails/3318-N-Kilbourn-Ave-Chicago-IL-60641/3665973_zpid/,,"4,704 sqft",$262,,,,,
450,Multi Family,1915,Forced air,No Data,2 spaces,"$599,900", 5, 3, 3,3711-N-Central-Park-Ave-Chicago-IL-60618,https://www.zillow.com/homedetails/3711-N-Central-Park-Ave-Chicago-IL-60618/2117599353_zpid/,,,No Data,,,,,
451,Condo,2003,Forced air,Central,1 space,"$538,900", 3, 3, 2,1617-W-Barry-Ave-APT-1W-Chicago-IL-60657,https://www.zillow.com/homedetails/1617-W-Barry-Ave-APT-1W-Chicago-IL-60657/65561830_zpid/,$245/month,,No Data, 1,,,,
452,Single Family,1921,Other,Central,2 spaces,"$399,000", 3, 2, 2,9738-S-Damen-Ave-Chicago-IL-60643,https://www.zillow.com/homedetails/9738-S-Damen-Ave-Chicago-IL-60643/4125471_zpid/,None,"4,961 sqft",$246,,,,,
453,Multi Family,1927,No Data,No Data,2 spaces,"$275,000", 6, 4, 3,5738-S-Archer-Ave-S-Chicago-IL-60638,https://www.zillow.com/homedetails/5738-S-Archer-Ave-S-Chicago-IL-60638/2077674705_zpid/,,,No Data, 1,,,,
454,Condo,1920,"Forced air, Gas",Central,1 space,"$315,000", 1, 1, 1,1601-W-School-St-APT-213-Chicago-IL-60657,https://www.zillow.com/homedetails/1601-W-School-St-APT-213-Chicago-IL-60657/3710577_zpid/,$418/mo,,$286,,,,,
455,Single Family,1925,Baseboard,No Data,2 spaces,"$365,000", 2, 1, 1,4311-N-Bernard-St-Chicago-IL-60618,https://www.zillow.com/homedetails/4311-N-Bernard-St-Chicago-IL-60618/3645515_zpid/,,"3,123 sqft",$177,,,,,
456,Condo,1998,Forced air,Central,1 space,"$349,900", 2, 2, 2,1623-W-Grand-Ave-APT-3E-Chicago-IL-60622,https://www.zillow.com/homedetails/1623-W-Grand-Ave-APT-3E-Chicago-IL-60622/54537434_zpid/,$289/month,,$269,,,,,
457,Condo,1958,Gas,No Data,1 space,"$139,500", 0, 1, 1,253-E-Delaware-Pl-APT-19D-Chicago-IL-60611,https://www.zillow.com/homedetails/253-E-Delaware-Pl-APT-19D-Chicago-IL-60611/3851136_zpid/,$428/mo,,$233,,,,,
458,Condo,1885,"Forced air, Gas",Central,1 space,"$499,900", 2, 2, 2,450-W-Armitage-Ave-3-Chicago-IL-60614,https://www.zillow.com/homedetails/450-W-Armitage-Ave-3-Chicago-IL-60614/70462262_zpid/,$324/mo,,$454,,,,,
459,Condo,No Data,"Forced air, Gas",Central,1 space,"$519,000", 3, 3, 2,1807-N-Orleans-St-APT-GS-Chicago-IL-60614,https://www.zillow.com/homedetails/1807-N-Orleans-St-APT-GS-Chicago-IL-60614/2085039956_zpid/,$288/mo,,$273, 1,,,,
460,Condo,1972,Electric,No Data,1 space,"$130,000", 1, 1, 1,2320-N-Nordica-Ave-APT-403-Chicago-IL-60707,https://www.zillow.com/homedetails/2320-N-Nordica-Ave-APT-403-Chicago-IL-60707/3680349_zpid/,$231/month,,No Data,,,,,
461,Condo,2009,Gas,Central,1 space,"$299,000", 1, 1, 1,1800-W-Grace-St-302-Chicago-IL-60613,https://www.zillow.com/homedetails/1800-W-Grace-St-302-Chicago-IL-60613/2137208699_zpid/,$384/mo,,$359,,,,,
462,Condo,2009,Electric,Central,1 space,"$289,900", 1, 1, 1,565-W-Quincy-St-UNIT-801-Chicago-IL-60661,https://www.zillow.com/homedetails/565-W-Quincy-St-UNIT-801-Chicago-IL-60661/306334092_zpid/,$407/month,,No Data,,,,,
463,Multiple Occupancy,1906,Gas,Central,2 spaces,"$3,000,000", 4, 5, 2,2528-N-California-Ave-Chicago-IL-60647,https://www.zillow.com/homedetails/2528-N-California-Ave-Chicago-IL-60647/2077676629_zpid/,,,, 3,,,,
464,Condo,1949,"Forced air, Gas",Central,1 space,"$700,000", 3, 3, 2,130-S-Canal-St-APT-9Q-Chicago-IL-60606,https://www.zillow.com/homedetails/130-S-Canal-St-APT-9Q-Chicago-IL-60606/58368894_zpid/,"$1,153/mo",,$368, 1,,,,
465,Condo,1968,No Data,No Data,No Data,"$155,000", 0, 1, 1,2626-N-Lakeview-Ave-APT-2110-Chicago-IL-60614,https://www.zillow.com/homedetails/2626-N-Lakeview-Ave-APT-2110-Chicago-IL-60614/3725735_zpid/,$229/mo,,$295,,,,,
466,Condo,1903,Forced air,Central,1 space,"$375,000", 2, 2, 2,4521-N-Ashland-Ave-APT-3N-Chicago-IL-60640,https://www.zillow.com/homedetails/4521-N-Ashland-Ave-APT-3N-Chicago-IL-60640/61959682_zpid/,No Data,,$268,,,,,
467,Condo,1906,"Other, Gas",Refrigerator,2 spaces,"$449,000", 4, 2, 2,668-W-Irving-Park-Rd-APT-H4-Chicago-IL-60613,https://www.zillow.com/homedetails/668-W-Irving-Park-Rd-APT-H4-Chicago-IL-60613/3705074_zpid/,$658/mo,,$187,,,,,
468,Condo,2002,"Forced air, Gas",Central,1 space,"$277,800", 2, 2, 2,3113-W-Lawrence-Ave-APT-A201-Chicago-IL-60625,https://www.zillow.com/homedetails/3113-W-Lawrence-Ave-APT-A201-Chicago-IL-60625/2077676671_zpid/,$279/mo,,$232,,,,,
469,Townhouse,1960,Forced air,Central,1 space,"$285,000", 3, 2, 1,3950-W-Glenlake-Ave-UNIT-C-Chicago-IL-60659,https://www.zillow.com/homedetails/3950-W-Glenlake-Ave-UNIT-C-Chicago-IL-60659/3620008_zpid/,None,"1,695 sqft",$286, 1,,,,
470,Condo,1998,Forced air,Central,1 space,"$285,000", 1, 2, 1,1529-S-State-St-19H-Chicago-IL-60605,https://www.zillow.com/homedetails/1529-S-State-St-19H-Chicago-IL-60605/2145973504_zpid/,$600/month,,$293, 1,,,,
471,Single Family,1945,"Forced air, Gas",No Data,2 spaces,"$229,000", 5, 3, 3,12201-S-Harvard-Ave-Chicago-IL-60628,https://www.zillow.com/homedetails/12201-S-Harvard-Ave-Chicago-IL-60628/4157398_zpid/,,"3,075 sqft",$115,,,,,
472,Condo,1911,Forced air,Central,1 space,"$284,999", 2, 2, 2,330-S-Michigan-Ave-APT-1910-Chicago-IL-60604,https://www.zillow.com/homedetails/330-S-Michigan-Ave-APT-1910-Chicago-IL-60604/60269731_zpid/,$512/month,,$259,,,,,
473,Single Family,1910,"Forced air, Gas",No Data,2 spaces,"$55,000", 3, 1, 1,6811-S-Wolcott-Ave-Chicago-IL-60636,https://www.zillow.com/homedetails/6811-S-Wolcott-Ave-Chicago-IL-60636/3996655_zpid/,,"3,101 sqft",$46,,,,,
474,Multiple Occupancy,1912,Gas,No Data,No Data,"$95,000", 5, 2, 2,7736-S-Maryland-Ave-Chicago-IL-60619,https://www.zillow.com/homedetails/7736-S-Maryland-Ave-Chicago-IL-60619/2137117040_zpid/,,,,,,,,
475,Townhouse,2006,Gas,Central,No Data,"$350,000", 2, 3, 2,4160-S-Drexel-Blvd-Chicago-IL-60653,https://www.zillow.com/homedetails/4160-S-Drexel-Blvd-Chicago-IL-60653/2077677082_zpid/,,No Data,$175, 1,,,,
476,Condo,2013,"Forced air, Gas",Central,2 spaces,"$649,900", 3, 2, 2,1238-W-Argyle-St-APT-2-Chicago-IL-60640,https://www.zillow.com/homedetails/1238-W-Argyle-St-APT-2-Chicago-IL-60640/2077677081_zpid/,$237/mo,,$351,,,,,
477,Condo,2008,"Forced air, Other",Central,1 space,"$764,900", 2, 2, 2,1201-S-Prairie-Ave-1905-Chicago-IL-60605,https://www.zillow.com/homedetails/1201-S-Prairie-Ave-1905-Chicago-IL-60605/2143994890_zpid/,$737/mo,,$467,,,,,
478,Single Family,1911,Forced air,No Data,1 space,"$299,900", 4, 2, 2,4506-N-Kimball-Ave-Chicago-IL-60625,https://www.zillow.com/homedetails/4506-N-Kimball-Ave-Chicago-IL-60625/3644845_zpid/,,"4,704 sqft",$128,,,,,
479,Single Family,2020,Forced air,Central,2 spaces,"$439,900", 5, 3, 3,533-W-46th-Pl-Chicago-IL-60609,https://www.zillow.com/homedetails/533-W-46th-Pl-Chicago-IL-60609/159007991_zpid/,,"3,049 sqft",$169,,,,,
480,Single Family,2016,Forced air,Central,2 spaces,"$1,050,000", 5, 4, 3,6082-N-Sauganash-Ave-Chicago-IL-60646,https://www.zillow.com/homedetails/6082-N-Sauganash-Ave-Chicago-IL-60646/2097701527_zpid/,$5/month,No Data,$240, 1,,,,
481,Condo,2001,Forced air,Central,None,"$219,000", 1, 1, 1,1426-W-Cullom-Ave-APT-1-Chicago-IL-60613,https://www.zillow.com/homedetails/1426-W-Cullom-Ave-APT-1-Chicago-IL-60613/65559234_zpid/,$265/month,,$219,,,,,
482,Condo,2007,Forced air,Central,1 space,"$595,000", 3, 2, 2,3548-N-Reta-Ave-APT-3N-Chicago-IL-60657,https://www.zillow.com/homedetails/3548-N-Reta-Ave-APT-3N-Chicago-IL-60657/2099052215_zpid/,$155/month,,$350,,,,,
483,Single Family,1917,Forced air,Central,2 spaces,"$265,000", 4, 4, 2,8119-S-Rhodes-Ave-Chicago-IL-60619,https://www.zillow.com/homedetails/8119-S-Rhodes-Ave-Chicago-IL-60619/4018561_zpid/,None,"3,720 sqft",$140, 2,,,,
484,Condo,2015,Forced air,Central,1 space,"$925,000", 3, 3, 3,2245-W-Armitage-Ave-2-Chicago-IL-60647,https://www.zillow.com/homedetails/2245-W-Armitage-Ave-2-Chicago-IL-60647/2100298707_zpid/,$148/month,,$462,,,,,
485,Condo,1962,Baseboard,No Data,None,"$89,900", 1, 1, 1,2035-W-Granville-Ave-APT-209-Chicago-IL-60659,https://www.zillow.com/homedetails/2035-W-Granville-Ave-APT-209-Chicago-IL-60659/2087877903_zpid/,$250/month,,No Data,,,,,
486,Condo,2003,Forced air,Central,1 space,"$305,000", 2, 1, 1,8747-W-Bryn-Mawr-Ave-APT-601-Chicago-IL-60631,https://www.zillow.com/homedetails/8747-W-Bryn-Mawr-Ave-APT-601-Chicago-IL-60631/65549659_zpid/,$395/month,,$235,,,,,
487,Condo,2002,"Forced air, Gas",Central,1 space,"$485,000", 2, 2,,1322-S-Prairie-Ave-UNIT-1713-Chicago-IL-60605,https://www.zillow.com/homedetails/1322-S-Prairie-Ave-UNIT-1713-Chicago-IL-60605/63704728_zpid/,$722/mo,,$394,,,,,
488,Condo,2008,Forced air,Central,1 space,"$319,900", 2, 2, 2,1134-W-Granville-Ave-APT-719-Chicago-IL-60660,https://www.zillow.com/homedetails/1134-W-Granville-Ave-APT-719-Chicago-IL-60660/113499351_zpid/,$463/month,,$267,,,,,
489,Condo,2004,"Forced air, Gas",Central,1 space,"$399,900", 2, 2, 2,1730-N-Western-Ave-APT-203-Chicago-IL-60647,https://www.zillow.com/homedetails/1730-N-Western-Ave-APT-203-Chicago-IL-60647/70459223_zpid/,$331/mo,,$267,,,,,
490,Single Family,1921,"Forced air, Gas",Central,2 spaces,"$415,000", 5, 3, 2,2416-N-Neva-Ave-Chicago-IL-60707,https://www.zillow.com/homedetails/2416-N-Neva-Ave-Chicago-IL-60707/3679740_zpid/,,"5,140 sqft",$218, 1,,,,
