,Type,Year built,Heating,Cooling,Parking,Total Price,Bedrooms,Bathrooms,Full bathrooms,Address,URL,HOA,Lot,Price/sqft,Half bathrooms,Date available,Pets,Laundry,Deposit & fees
219,Single Family,1952,"Forced air, Gas",Central,2 spaces,"$499,000", 4, 3, 3,6350-N-Merrimac-Ave-Chicago-IL-60646,https://www.zillow.com/homedetails/6350-N-Merrimac-Ave-Chicago-IL-60646/3625028_zpid/,,"3,746 sqft",$208,,,,,
220,Single Family,1890,Other,No Data,4 spaces,"$85,000", 4, 2, 2,638-E-65th-St-Chicago-IL-60637,https://www.zillow.com/homedetails/638-E-65th-St-Chicago-IL-60637/3999272_zpid/,,"2,879 sqft",$71,,,,,
221,Single Family,2020,No Data,No Data,2 spaces,"$405,872", 4, 2, 2,154-Balderson-Dr-Pickerington-OH-43147,https://www.zillow.com/homedetails/154-Balderson-Dr-Pickerington-OH-43147/2077654125_zpid/,,No Data,$162,,,,,
222,Single Family,1945,Gas,Central,1 space,"$139,000", 2, 1, 1,7617-S-Euclid-Ave-Chicago-IL-60649,https://www.zillow.com/homedetails/7617-S-Euclid-Ave-Chicago-IL-60649/4002608_zpid/,,"2,029 sqft",$154,,,,,
223,Single Family,1880,Gas,Central,2 spaces,"$645,000", 4, 4, 3,223-S-Hamilton-Ave-Chicago-IL-60612,https://www.zillow.com/homedetails/223-S-Hamilton-Ave-Chicago-IL-60612/3874626_zpid/,,"3,070 sqft",$226, 1,,,,
224,Condo,2001,"Forced air, Gas",Central,2 spaces,"$574,900", 2, 2, 2,1140-N-Milwaukee-Ave-APT-4-Chicago-IL-60642,https://www.zillow.com/homedetails/1140-N-Milwaukee-Ave-APT-4-Chicago-IL-60642/60266478_zpid/,$261/mo,,$359,,,,,
225,Single Family,1985,"Forced air, Gas",Central,2 spaces,"$349,900", 3, 2, 2,3214-N-Osage-Ave-Chicago-IL-60634,https://www.zillow.com/homedetails/3214-N-Osage-Ave-Chicago-IL-60634/3599153_zpid/,,"3,746 sqft",$292,,,,,
226,Townhouse,2001,"Forced air, Gas",Central,2 spaces,"$295,000", 3, 3, 2,4555-N-Central-Ave-6-Chicago-IL-60630,https://www.zillow.com/homedetails/4555-N-Central-Ave-6-Chicago-IL-60630/60261743_zpid/,,"1,531 sqft",$197, 1,,,,
227,Single Family,1925,Forced air,Central,2 spaces,"$285,000", 4, 3, 3,7625-S-Indiana-Ave-Chicago-IL-60619,https://www.zillow.com/homedetails/7625-S-Indiana-Ave-Chicago-IL-60619/4005579_zpid/,None,"4,835 sqft",$114,,,,,
228,Condo,1925,Forced air,Central,1 space,"$238,000", 2, 1, 1,4742-N-Hamilton-Ave-2-Chicago-IL-60625,https://www.zillow.com/homedetails/4742-N-Hamilton-Ave-2-Chicago-IL-60625/58360574_zpid/,$270/month,,$340,,,,,
229,Condo,1920,"Forced air, Gas",Central,No Data,"$265,000", 2, 2, 2,3301-N-Ridgeway-Ave-2S-Chicago-IL-60618,https://www.zillow.com/homedetails/3301-N-Ridgeway-Ave-2S-Chicago-IL-60618/70458670_zpid/,$223/mo,,$279,,,,,
230,Single Family,2005,Gas,Central,2 spaces,"$450,000", 4, 3, 3,5202-W-Strong-St-Chicago-IL-60630,https://www.zillow.com/homedetails/5202-W-Strong-St-Chicago-IL-60630/65557634_zpid/,,"3,179 sqft",$192,,,,,
231,Single Family,1922,Forced air,Central,6 spaces,"$415,000", 4, 3, 3,4226-N-Melvina-Ave-Chicago-IL-60634,https://www.zillow.com/homedetails/4226-N-Melvina-Ave-Chicago-IL-60634/3652127_zpid/,None,"9,448 sqft",$165,,,,,
232,Single Family,1885,Forced air,Central,None,"$50,000", 3, 2, 1,10221-S-Emerald-Ave-Chicago-IL-60628,https://www.zillow.com/homedetails/10221-S-Emerald-Ave-Chicago-IL-60628/4131866_zpid/,None,"6,229 sqft",$33, 1,,,,
233,Single Family,1890,No Data,No Data,No Data,"$39,900", 4, 2, 2,8521-S-May-St-Chicago-IL-60620,https://www.zillow.com/homedetails/8521-S-May-St-Chicago-IL-60620/4016303_zpid/,,"3,750 sqft",$34,,,,,
234,Condo,2008,Forced air,Central,1 space,"$629,000", 3, 2, 2,520-S-State-St-APT-1209-Chicago-IL-60605,https://www.zillow.com/homedetails/520-S-State-St-APT-1209-Chicago-IL-60605/101396125_zpid/,$748/month,,$348,,,,,
