,Type,Year built,Heating,Cooling,Parking,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Address,URL,Lot,Half bathrooms,City,Lot Temp,sqft
313,Condo,1969.0,"Radiant, Electric",Wall,1 space,835000.0,390.0,835000.0,3,3.0,2.0,1110-N-Lake-Shore-Dr-APT-19N-Chicago-IL-60611,https://www.zillow.com/homedetails/1110-N-Lake-Shore-Dr-APT-19N-Chicago-IL-60611/3846441_zpid/,,1,Chicago,,2141.025641025641
314,Townhouse,1997.0,"Electric, Gas",Central,2 spaces,500000.0,333.0,500000.0,2,3.0,3.0,855-W-Erie-St-APT-116-Chicago-IL-60642,https://www.zillow.com/homedetails/855-W-Erie-St-APT-116-Chicago-IL-60642/2125705882_zpid/,,0,Chicago,,1501.5015015015015
315,Single Family,2008.0,"Forced air, Gas",Central,2 spaces,1600000.0,225.0,1600000.0,8,6.0,5.0,6852-N-Tonty-Ave-Chicago-IL-60646,https://www.zillow.com/homedetails/6852-N-Tonty-Ave-Chicago-IL-60646/3552996_zpid/,9510.0,1,Chicago,"['9,510', 'sqft']",7111.111111111111
316,Townhouse,1979.0,"Forced air, Gas",Central,1 space,665000.0,,665000.0,3,3.0,2.0,1906-N-Mohawk-St-23-Chicago-IL-60614,https://www.zillow.com/homedetails/1906-N-Mohawk-St-23-Chicago-IL-60614/3740190_zpid/,31798.8,1,Chicago,"['0.73', 'acres']",
317,Single Family,2007.0,Forced air,Central,2 spaces,1999999.0,322.0,1999999.0,6,6.0,5.0,1460-W-Byron-St-Chicago-IL-60613,https://www.zillow.com/homedetails/1460-W-Byron-St-Chicago-IL-60613/87718585_zpid/,3750.0,1,Chicago,"['3,750', 'sqft']",6211.177018633541
318,Single Family,2007.0,"Forced air, Gas",Central,2 spaces,1999999.0,322.0,1999999.0,6,6.0,5.0,1460-W-Byron-St-Chicago-IL-60613,https://www.zillow.com/homedetails/1460-W-Byron-St-Chicago-IL-60613/87718585_zpid/,3750.0,1,Chicago,"['3,750', 'sqft']",6211.177018633541
319,Single Family,1880.0,"Forced air, Gas",Central,,1400000.0,491.0,1400000.0,4,5.0,4.0,1720-N-Sedgwick-St-Chicago-IL-60614,https://www.zillow.com/homedetails/1720-N-Sedgwick-St-Chicago-IL-60614/2141869717_zpid/,1655.0,1,Chicago,"['1,655', 'sqft']",2851.32382892057
320,Multi Family,,Forced air,Central,2 spaces,199900.0,,199900.0,6,2.0,2.0,7112-S-Greenwood-Ave-Chicago-IL-60619,https://www.zillow.com/homedetails/7112-S-Greenwood-Ave-Chicago-IL-60619/2077659687_zpid/,,0,Chicago,,
321,Single Family,1951.0,Forced air,Central,2 spaces,249900.0,254.0,249900.0,4,2.0,2.0,6055-S-Melvina-Ave-Chicago-IL-60638,https://www.zillow.com/homedetails/6055-S-Melvina-Ave-Chicago-IL-60638/3942492_zpid/,3750.0,0,Chicago,"['3,750', 'sqft']",983.8582677165355
322,Single Family,1954.0,"Forced air, Gas",Central,3 spaces,489900.0,241.0,489900.0,3,2.0,2.0,5858-S-Natchez-Ave-Chicago-IL-60638,https://www.zillow.com/homedetails/5858-S-Natchez-Ave-Chicago-IL-60638/3945612_zpid/,4852.0,0,Chicago,"['4,852', 'sqft']",2032.7800829875519
323,Single Family,1966.0,Forced air,Central,2 spaces,135000.0,82.0,135000.0,4,2.0,2.0,1741-E-91st-Pl-Chicago-IL-60617,https://www.zillow.com/homedetails/1741-E-91st-Pl-Chicago-IL-60617/4112391_zpid/,5000.0,0,Chicago,"['5,000', 'sqft']",1646.341463414634
